Time,x,y,z,Red,Green,Blue
102,1.614,-1.22,0.526,0,0,0
203,1.614,-1.22,0.526,0,0,0
304,1.613,-1.22,0.526,0,0,0
405,1.612,-1.22,0.527,0,0,0
506,1.611,-1.22,0.527,0,0,0
607,1.611,-1.22,0.527,0,0,0
708,1.609,-1.22,0.527,0,0,0
809,1.608,-1.22,0.528,0,0,0
910,1.607,-1.22,0.528,0,0,0
1011,1.606,-1.22,0.528,0,0,0
1112,1.604,-1.22,0.529,0,0,0
1213,1.603,-1.22,0.529,0,0,0
1314,1.601,-1.22,0.529,0,0,0
1415,1.601,-1.22,0.529,0,0,0
1516,1.6,-1.22,0.53,0,0,0
1617,1.598,-1.22,0.53,0,0,0
1718,1.596,-1.22,0.53,0,0,0
1819,1.594,-1.22,0.531,0,0,0
1920,1.593,-1.22,0.531,0,0,0
2021,1.59,-1.22,0.532,0,0,0
2122,1.589,-1.22,0.532,0,0,0
2223,1.587,-1.22,0.532,0,0,0
2324,1.584,-1.22,0.533,0,0,0
2425,1.582,-1.22,0.533,0,0,0
2526,1.58,-1.22,0.533,0,0,0
2627,1.58,-1.22,0.533,0,0,0
2728,1.577,-1.22,0.534,0,0,0
2829,1.575,-1.22,0.534,0,0,0
2930,1.572,-1.22,0.535,0,0,0
3031,1.57,-1.22,0.535,0,0,0
3133,1.567,-1.22,0.536,0,0,0
3234,1.567,-1.22,0.536,0,0,0
3335,1.567,-1.22,0.536,0,0,0
3436,1.567,-1.22,0.536,0,0,0
3537,1.567,-1.22,0.536,0,0,0
3638,1.567,-1.22,0.536,0,0,0
3739,1.567,-1.22,0.536,0,0,0
3840,1.567,-1.22,0.536,0,0,0
3941,1.567,-1.22,0.536,0,0,0
4043,1.567,-1.22,0.536,0,0,0
4144,1.567,-1.22,0.549,0,0,0
4245,1.567,-1.22,0.549,0,0,0
4347,1.567,-1.22,0.549,0,0,0
4448,1.567,-1.22,0.549,0,0,0
4549,1.567,-1.22,0.549,0,0,0
4650,1.567,-1.22,0.549,0,0,0
4751,1.567,-1.22,0.549,0,0,0
4852,1.567,-1.22,0.549,0,0,0
4953,1.567,-1.22,0.549,0,0,0
5054,1.567,-1.22,0.549,0,0,0
5155,1.567,-1.22,0.549,0,0,0
5256,1.567,-1.22,0.549,0,0,0
5357,1.567,-1.22,0.549,0,0,0
5458,1.567,-1.22,0.549,0,0,0
5559,1.567,-1.22,0.549,0,0,0
5660,1.567,-1.22,0.549,0,0,0
5761,1.567,-1.22,0.549,0,0,0
5862,1.567,-1.22,0.549,0,0,0
5968,1.567,-1.22,0.549,0,0,0
6069,1.567,-1.22,0.549,0,0,0
6170,1.567,-1.22,0.549,0,0,0
6271,1.567,-1.22,0.549,0,0,0
6372,1.567,-1.22,0.549,0,0,0
6473,1.567,-1.22,0.549,0,0,0
6574,1.567,-1.22,0.549,0,0,0
6675,1.567,-1.22,0.549,0,0,0
6776,1.567,-1.22,0.549,0,0,0
6877,1.567,-1.22,0.549,0,0,0
6978,1.567,-1.22,0.549,0,0,0
7079,1.567,-1.22,0.549,0,0,0
7180,1.567,-1.22,0.549,0,0,0
7281,1.567,-1.22,0.549,0,0,0
7382,1.567,-1.22,0.549,0,0,0
7483,1.567,-1.22,0.549,0,0,0
7589,1.567,-1.22,0.549,0,0,0
7690,1.567,-1.22,0.549,0,0,0
7791,1.567,-1.22,0.549,0,0,0
7892,1.567,-1.22,0.549,0,0,0
7993,1.567,-1.22,0.549,0,0,0
8094,1.567,-1.22,0.549,0,0,0
8195,1.567,-1.22,0.549,0,0,0
8296,1.567,-1.22,0.549,0,0,0
8397,1.567,-1.22,0.549,0,0,0
8499,1.567,-1.22,0.549,0,0,0
8600,1.567,-1.22,0.549,0,0,0
8701,1.567,-1.22,0.549,0,0,0
8802,1.567,-1.22,0.549,0,0,0
8903,1.567,-1.22,0.549,0,0,0
9004,1.567,-1.22,0.549,0,0,0
9105,1.567,-1.22,0.549,0,0,0
9206,1.567,-1.22,0.549,0,0,0
9307,1.567,-1.22,0.549,0,0,0
9408,1.567,-1.22,0.549,0,0,0
9509,1.567,-1.22,0.549,0,0,0
9610,1.567,-1.22,0.549,0,0,0
9711,1.567,-1.22,0.549,0,0,0
9812,1.567,-1.22,0.549,0,0,0
9913,1.567,-1.22,0.549,0,0,0
10014,1.567,-1.22,0.549,0,0,0
10115,1.567,-1.22,0.549,0,0,0
10216,1.567,-1.22,0.549,0,0,0
10317,1.567,-1.22,0.549,0,0,0
10418,1.567,-1.22,0.549,0,0,0
10520,1.567,-1.22,0.549,0,0,0
10621,1.567,-1.22,0.549,0,0,0
10723,1.567,-1.22,0.549,0,0,0
10824,1.567,-1.22,0.549,0,0,0
10925,1.567,-1.22,0.549,0,0,0
11026,1.567,-1.22,0.549,0,0,0
11127,1.567,-1.22,0.549,0,0,0
11228,1.567,-1.22,0.549,0,0,0
11329,1.567,-1.22,0.549,0,0,0
11430,1.567,-1.22,0.549,0,0,0
11531,1.567,-1.22,0.549,0,0,0
11632,1.567,-1.22,0.549,0,0,0
11733,1.567,-1.22,0.549,0,0,0
11834,1.567,-1.22,0.549,0,0,0
11940,1.567,-1.22,0.549,0,0,0
12041,1.567,-1.22,0.549,0,0,0
12142,1.567,-1.22,0.549,0,0,0
12243,1.567,-1.22,0.549,0,0,0
12344,1.567,-1.22,0.549,0,0,0
12445,1.567,-1.22,0.549,0,0,0
12546,1.567,-1.22,0.549,0,0,0
12647,1.567,-1.22,0.549,0,0,0
12748,1.567,-1.22,0.549,0,0,0
12849,1.567,-1.22,0.549,0,0,0
12950,1.567,-1.22,0.549,0,0,0
13051,1.567,-1.22,0.549,0,0,0
13152,1.567,-1.22,0.549,0,0,0
13253,1.567,-1.22,0.549,0,0,0
13354,1.567,-1.22,0.549,0,0,0
13456,1.567,-1.22,0.549,0,0,0
13557,1.567,-1.22,0.549,0,0,0
13658,1.567,-1.22,0.549,0,0,0
13759,1.567,-1.22,0.549,0,0,0
13860,1.567,-1.22,0.549,0,0,0
13962,1.567,-1.22,0.549,0,0,0
14063,1.567,-1.22,0.549,0,0,0
14164,1.567,-1.22,0.549,0,0,0
14265,1.567,-1.22,0.549,0,0,0
14366,1.567,-1.22,0.549,0,0,0
14467,1.567,-1.22,0.549,0,0,0
14568,1.567,-1.22,0.549,0,0,0
14669,1.567,-1.22,0.549,0,0,0
14775,1.567,-1.22,0.549,0,0,0
14876,1.567,-1.22,0.549,0,0,0
14978,1.567,-1.22,0.549,0,0,0
15079,1.567,-1.22,0.549,0,0,0
15180,1.567,-1.22,0.549,0,0,0
15281,1.567,-1.22,0.549,0,0,0
