Time,x,y,z,Red,Green,Blue
102,1.363,1.737,0.997,0,0,0
203,1.363,1.737,0.997,0,0,0
304,1.362,1.737,0.997,0,0,0
404,1.361,1.737,0.997,0,0,0
506,1.36,1.737,0.997,0,0,0
607,1.359,1.737,0.997,0,0,0
708,1.358,1.737,0.997,0,0,0
809,1.357,1.737,0.998,0,0,0
910,1.355,1.737,0.998,0,0,0
1011,1.354,1.737,0.998,0,0,0
1112,1.353,1.737,0.998,0,0,0
1218,1.351,1.737,0.998,0,0,0
1319,1.35,1.737,0.998,0,0,0
1420,1.35,1.737,0.998,0,0,0
1522,1.348,1.737,0.998,0,0,0
1623,1.346,1.737,0.998,0,0,0
1724,1.345,1.737,0.998,0,0,0
1825,1.343,1.737,0.998,0,0,0
1926,1.341,1.737,0.998,0,0,0
2028,1.339,1.737,0.998,0,0,0
2129,1.337,1.737,0.998,0,0,0
2230,1.335,1.737,0.999,0,0,0
2331,1.333,1.737,0.999,0,0,0
2433,1.331,1.737,0.999,0,0,0
2534,1.329,1.737,0.999,0,0,0
2635,1.327,1.737,0.999,0,0,0
2737,1.322,1.737,0.999,0,0,0
2838,1.314,1.737,0.999,0,0,0
2943,1.307,1.737,1.0,0,0,0
3044,1.301,1.737,1.0,0,0,0
3145,1.293,1.737,1.0,0,0,0
3246,1.286,1.737,1.0,0,0,0
3347,1.277,1.737,1.001,0,0,0
3448,1.271,1.737,1.001,0,0,0
3550,1.261,1.737,1.001,0,0,0
3656,1.251,1.737,1.001,0,0,0
3757,1.244,1.737,1.002,0,0,0
3859,1.233,1.737,1.002,0,0,0
3960,1.226,1.737,1.002,0,0,0
4061,1.214,1.737,1.003,0,0,0
4162,1.206,1.737,1.003,0,0,0
4264,1.194,1.737,1.003,0,0,0
4365,1.187,1.737,1.003,0,0,0
4466,1.174,1.737,1.004,0,0,0
4567,1.166,1.737,1.004,0,0,0
4669,1.153,1.737,1.004,0,0,0
4769,1.14,1.737,1.005,0,0,0
4870,1.132,1.737,1.005,0,0,0
4972,1.118,1.737,1.006,0,0,0
5073,1.109,1.737,1.006,0,0,0
5174,1.095,1.737,1.006,0,0,0
5275,1.086,1.737,1.006,0,0,0
5376,1.071,1.737,1.007,0,0,0
5478,1.062,1.737,1.007,0,0,0
5579,1.048,1.737,1.007,0,0,0
5680,1.038,1.737,1.008,0,0,0
5781,1.023,1.737,1.008,0,0,0
5882,1.013,1.737,1.009,0,0,0
5983,0.998,1.737,1.009,0,0,0
6084,0.988,1.737,1.009,0,0,0
6185,0.972,1.737,1.01,0,0,0
6286,0.962,1.737,1.01,0,0,0
6387,0.946,1.737,1.01,0,0,0
6488,0.935,1.737,1.011,0,0,0
6589,0.919,1.737,1.011,0,0,0
6690,0.908,1.737,1.011,0,0,0
6791,0.892,1.737,1.012,0,0,0
6892,0.881,1.737,1.012,0,0,0
6993,0.865,1.737,1.013,0,0,0
7094,0.853,1.737,1.013,0,0,0
7196,0.837,1.737,1.013,0,0,0
7297,0.825,1.737,1.014,0,0,0
7398,0.808,1.737,1.014,0,0,0
7499,0.797,1.737,1.015,0,0,0
7600,0.779,1.737,1.015,0,0,0
7702,0.767,1.737,1.015,0,0,0
7803,0.748,1.737,1.016,0,0,0
7904,0.733,1.737,1.016,0,0,0
8005,0.708,1.737,1.016,0,0,0
8106,0.681,1.737,1.017,0,0,0
8207,0.662,1.736,1.017,0,0,0
8308,0.63,1.736,1.018,0,0,0
8409,0.609,1.735,1.018,0,0,0
8510,0.575,1.734,1.018,0,0,0
8612,0.551,1.733,1.019,0,0,0
8713,0.538,1.732,1.019,0,0,0
8813,0.527,1.732,1.019,0,0,0
8914,0.514,1.731,1.019,0,0,0
9015,0.501,1.73,1.019,0,0,0
9116,0.462,1.728,1.02,0,0,0
9217,0.435,1.726,1.02,0,0,0
9318,0.394,1.722,1.021,0,0,0
9419,0.365,1.719,1.021,0,0,0
9520,0.322,1.714,1.022,0,0,0
9621,0.293,1.711,1.023,0,0,0
9723,0.247,1.704,1.023,0,0,0
9824,0.216,1.699,1.024,0,0,0
9925,0.169,1.691,1.025,0,0,0
10026,0.122,1.685,1.026,0,0,0
10127,0.089,1.676,1.027,0,0,0
10228,0.041,1.669,1.027,0,0,0
10329,0.009,1.658,1.029,0,0,0
10430,-0.041,1.649,1.03,0,0,0
10531,-0.073,1.636,1.031,0,0,0
10632,-0.123,1.621,1.032,0,0,0
10734,-0.156,1.611,1.033,0,0,0
10835,-0.206,1.594,1.035,0,0,0
10935,-0.239,1.582,1.036,0,0,0
11037,-0.288,1.564,1.037,0,0,0
11138,-0.322,1.55,1.038,0,0,0
11240,-0.372,1.529,1.04,0,0,0
11341,-0.404,1.514,1.042,0,0,0
11442,-0.452,1.492,1.044,0,0,0
11543,-0.485,1.476,1.045,0,0,0
11644,-0.532,1.451,1.047,0,0,0
11746,-0.579,1.433,1.049,0,0,0
11847,-0.611,1.406,1.051,0,0,0
11948,-0.657,1.379,1.053,0,0,0
12049,-0.686,1.36,1.055,0,0,0
12150,-0.731,1.33,1.055,0,0,0
12251,-0.76,1.309,1.053,0,0,0
12352,-0.803,1.277,1.046,0,0,0
12453,-0.83,1.256,1.038,0,0,0
12554,-0.872,1.222,1.023,0,0,0
12655,-0.898,1.199,1.011,0,0,0
12757,-0.936,1.165,0.992,0,0,0
12858,-0.961,1.141,0.981,0,0,0
12959,-0.998,1.103,0.968,0,0,0
13065,-1.032,1.079,0.963,0,0,0
13166,-1.054,1.042,0.963,0,0,0
13267,-1.086,1.004,0.973,0,0,0
13368,-1.106,0.977,0.987,0,0,0
13469,-1.134,0.939,1.016,0,0,0
13570,-1.15,0.914,1.04,0,0,0
13672,-1.174,0.874,1.084,0,0,0
13774,-1.188,0.846,1.117,0,0,0
13875,-1.205,0.805,1.168,0,0,0
13976,-1.212,0.78,1.203,0,0,0
14077,-1.218,0.738,1.253,0,0,0
14178,-1.222,0.712,1.284,0,0,0
14279,-1.226,0.671,1.323,0,0,0
14381,-1.227,0.645,1.343,0,0,0
14482,-1.229,0.603,1.364,0,0,0
14583,-1.229,0.576,1.369,0,0,0
14684,-1.228,0.534,1.365,0,0,0
14785,-1.225,0.495,1.346,0,0,0
14886,-1.223,0.468,1.324,0,0,0
14987,-1.218,0.427,1.281,0,0,0
15089,-1.214,0.401,1.245,0,0,0
15190,-1.207,0.363,1.183,0,0,0
15291,-1.201,0.336,1.137,0,0,0
15392,-1.192,0.297,1.065,0,0,0
15493,-1.185,0.272,1.017,0,0,0
15594,-1.174,0.235,0.946,0,0,0
15695,-1.161,0.198,0.882,0,0,0
15797,-1.153,0.174,0.844,0,0,0
15898,-1.138,0.138,0.797,0,0,0
16004,-1.128,0.115,0.774,0,0,0
16105,-1.112,0.081,0.753,0,0,0
16206,-1.101,0.058,0.749,0,0,0
16307,-1.083,0.025,0.757,0,0,0
16408,-1.07,0.003,0.772,0,0,0
16509,-1.051,-0.029,0.809,0,0,0
16610,-1.038,-0.049,0.841,0,0,0
16711,-1.017,-0.08,0.901,0,0,0
16812,-0.995,-0.099,0.971,0,0,0
16913,-0.981,-0.128,1.021,0,0,0
17014,-0.959,-0.145,1.1,0,0,0
17116,-0.944,-0.172,1.152,0,0,0
17221,-0.92,-0.199,1.227,0,0,0
17322,-0.904,-0.215,1.273,0,0,0
17423,-0.88,-0.24,1.334,0,0,0
17524,-0.865,-0.254,1.368,0,0,0
17625,-0.84,-0.277,1.406,0,0,0
17726,-0.823,-0.292,1.422,0,0,0
17827,-0.797,-0.313,1.432,0,0,0
17928,-0.781,-0.325,1.429,0,0,0
18029,-0.755,-0.345,1.409,0,0,0
18130,-0.738,-0.357,1.387,0,0,0
18231,-0.713,-0.374,1.342,0,0,0
18332,-0.696,-0.385,1.305,0,0,0
18433,-0.67,-0.402,1.241,0,0,0
18534,-0.645,-0.411,1.17,0,0,0
18636,-0.628,-0.426,1.122,0,0,0
18737,-0.602,-0.44,1.05,0,0,0
18838,-0.586,-0.447,1.003,0,0,0
18939,-0.56,-0.46,0.94,0,0,0
19040,-0.543,-0.467,0.903,0,0,0
19142,-0.52,-0.477,0.857,0,0,0
19243,-0.503,-0.484,0.834,0,0,0
