Time,x,y,z,Red,Green,Blue
983,0.0,0.0,1.0,0,0,0
1024,0.776,0.416,0.0,132,113,108
1065,0.776,0.416,0.0,132,113,108
1105,0.776,0.416,0.0,132,113,108
1146,0.776,0.416,0.0,132,113,108
1186,0.745,0.468,0.0,129,113,109
1227,0.745,0.468,0.0,129,113,109
1268,0.745,0.468,0.0,129,113,109
1308,0.713,0.515,0.0,127,113,109
1348,0.713,0.515,0.0,127,113,109
1389,0.713,0.515,0.0,127,113,109
1430,0.713,0.515,0.0,127,113,109
1471,0.713,0.515,0.0,127,113,109
1512,0.713,0.515,0.0,127,113,109
1553,0.713,0.515,0.0,127,113,109
1594,0.713,0.515,0.0,127,113,109
1635,0.624,0.565,0.0,122,113,110
1676,0.624,0.565,0.0,122,113,110
1717,0.624,0.565,0.0,122,113,110
1758,0.624,0.565,0.0,122,113,110
1798,0.581,0.549,0.0,120,112,110
1839,0.581,0.549,0.0,120,112,110
1880,0.581,0.549,0.0,120,112,110
1921,0.581,0.549,0.0,120,112,110
1961,0.581,0.549,0.0,120,112,110
2002,0.581,0.549,0.0,120,112,110
2042,0.581,0.549,0.0,120,112,110
2082,0.581,0.549,0.0,120,112,110
2123,0.581,0.549,0.0,120,112,110
2164,0.581,0.549,0.0,120,112,110
2205,0.581,0.549,0.0,120,112,110
2246,0.422,0.402,0.0,115,110,110
2287,0.422,0.402,0.0,115,110,110
2327,0.422,0.402,0.0,115,110,110
2367,0.392,0.389,0.0,114,110,110
2407,0.392,0.389,0.0,114,110,110
2448,0.392,0.389,0.0,114,110,110
2489,0.35,0.39,0.0,113,109,111
2529,0.35,0.39,0.0,113,109,111
2570,0.35,0.39,0.0,113,109,111
2611,0.35,0.39,0.0,113,109,111
2651,0.35,0.39,0.0,113,109,111
2692,0.35,0.39,0.0,113,109,111
2733,0.35,0.39,0.0,113,109,111
2774,0.277,0.448,0.0,110,108,111
2814,0.26,0.472,0.0,110,108,112
2855,0.26,0.472,0.0,110,108,112
2895,0.26,0.472,0.0,110,108,112
2936,0.26,0.472,0.0,110,108,112
2976,0.26,0.472,0.0,110,108,112
3017,0.228,0.519,0.0,111,107,114
3057,0.228,0.519,0.0,111,107,114
3097,0.228,0.519,0.0,111,107,114
3138,0.228,0.519,0.0,111,107,114
3178,0.228,0.519,0.0,111,107,114
3219,0.228,0.519,0.0,111,107,114
3259,0.228,0.519,0.0,111,107,114
3299,0.228,0.519,0.0,111,107,114
3340,0.228,0.519,0.0,111,107,114
3380,0.228,0.519,0.0,111,107,114
3421,0.228,0.519,0.0,111,107,114
3461,0.228,0.519,0.0,111,107,114
3502,0.228,0.519,0.0,111,107,114
3542,0.228,0.519,0.0,111,107,114
3583,0.148,0.519,0.0,112,104,122
