INFO: 27-10-2022 18:07:10 __init__(112) -- This is drone log from Drogno_3
INFO: 27-10-2022 18:07:11 log_status(395) -- Logger started
INFO: 27-10-2022 18:07:40 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.006 0.002 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -9.99 -1.43 -8.95	yaw: -22.78	msg/s 0.0
INFO: 27-10-2022 18:07:41 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.003 0.001 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -2.24 0.43 -1.31	yaw: -12.49	msg/s 0.0
INFO: 27-10-2022 18:07:42 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.007 0.002 0.002                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -10.24 -1.36 -9.14	yaw: -33.34	msg/s 0.0
INFO: 27-10-2022 18:07:43 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -0.76 0.80 0.16	yaw: -12.18	msg/s 0.0
INFO: 27-10-2022 18:07:44 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.006 0.002 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -5.83 -0.46 -4.85	yaw: -13.63	msg/s 0.0
INFO: 27-10-2022 18:07:45 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.54 0.85 0.37	yaw: -11.88	msg/s 0.0
INFO: 27-10-2022 18:07:46 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.004 0.001 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -4.19 -0.05 -3.26	yaw: -13.32	msg/s 0.0
INFO: 27-10-2022 18:07:47 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -0.51 0.86 0.40	yaw: -11.69	msg/s 0.0
INFO: 27-10-2022 18:07:48 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.004 0.001 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -3.84 0.04 -2.91	yaw: -13.11	msg/s 0.0
INFO: 27-10-2022 18:07:49 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -0.53 0.85 0.38	yaw: -11.86	msg/s 0.0
INFO: 27-10-2022 18:07:51 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.005 0.001 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -3.94 0.01 -2.99	yaw: -13.06	msg/s 0.0
INFO: 27-10-2022 18:07:52 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -0.44 0.88 0.47	yaw: -11.47	msg/s 0.0
INFO: 27-10-2022 18:07:53 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.004 0.001 0.001                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -3.89 0.02 -2.95	yaw: -13.15	msg/s 0.0
INFO: 27-10-2022 18:07:54 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -0.56 0.85 0.35	yaw: -11.73	msg/s 0.0
INFO: 27-10-2022 18:07:55 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.005 0.002 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -4.20 -0.06 -3.18	yaw: -13.14	msg/s 0.0
INFO: 27-10-2022 18:07:56 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -0.31 0.91 0.60	yaw: -9.79	msg/s 0.0
INFO: 27-10-2022 18:07:57 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.001 0.001                    	batterySag: 0.5	link quality: 52	flight time: 0s                    	pos -1.59 0.59 -0.66	yaw: -12.11	msg/s 0.0
INFO: 27-10-2022 18:07:58 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 0.00 -0.00 0.00	yaw: 0.00	msg/s 0.0
INFO: 27-10-2022 18:07:59 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.003 0.001 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -1.40 0.64 -0.45	yaw: -12.02	msg/s 0.0
INFO: 27-10-2022 18:08:00 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.009 0.003 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -9.80 -1.44 -8.84	yaw: -13.88	msg/s 0.0
INFO: 27-10-2022 18:08:02 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.0 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -1.25 0.68 -0.33	yaw: -11.52	msg/s 0.0
INFO: 27-10-2022 18:08:03 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.007 0.002 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -9.59 -1.39 -8.59	yaw: -14.00	msg/s 0.0
INFO: 27-10-2022 18:08:04 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.001 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -1.44 0.63 -0.52	yaw: -12.23	msg/s 0.0
INFO: 27-10-2022 18:08:05 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -0.00 -0.00 0.00	yaw: -0.00	msg/s 0.0
INFO: 27-10-2022 18:08:06 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.001 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -1.38 0.64 -0.45	yaw: -12.10	msg/s 0.0
INFO: 27-10-2022 18:08:07 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.32 0.92 0.61	yaw: -8.53	msg/s 0.0
INFO: 27-10-2022 18:08:08 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.003 0.001 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.66 0.58 -0.71	yaw: -12.01	msg/s 0.0
INFO: 27-10-2022 18:08:09 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.31 0.92 0.62	yaw: -8.63	msg/s 0.0
INFO: 27-10-2022 18:08:10 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.001 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.76 0.55 -0.84	yaw: -12.33	msg/s 0.0
INFO: 27-10-2022 18:08:11 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.30 0.92 0.62	yaw: -8.70	msg/s 0.0
INFO: 27-10-2022 18:08:13 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.003 0.001 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.88 0.52 -0.95	yaw: -12.45	msg/s 0.0
INFO: 27-10-2022 18:08:14 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.36 0.90 0.55	yaw: -10.83	msg/s 0.0
INFO: 27-10-2022 18:08:15 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.003 0.001 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.79 0.54 -0.87	yaw: -12.20	msg/s 0.0
INFO: 27-10-2022 18:08:16 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.00 0.00 0.00	yaw: -0.00	msg/s 0.0
INFO: 27-10-2022 18:08:17 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.003 0.001 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.51 0.61 -0.58	yaw: -12.23	msg/s 0.0
INFO: 27-10-2022 18:08:18 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.22 0.96 0.74	yaw: -6.36	msg/s 0.0
INFO: 27-10-2022 18:08:19 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.001 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -1.46 0.62 -0.54	yaw: -12.35	msg/s 0.0
INFO: 27-10-2022 18:08:20 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.007 0.002 0.002                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -10.57 -1.49 -9.50	yaw: -29.59	msg/s 0.0
INFO: 27-10-2022 18:08:21 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.88 0.77 0.03	yaw: -12.01	msg/s 0.0
INFO: 27-10-2022 18:08:22 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.006 0.002 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -7.58 -0.89 -6.62	yaw: -13.84	msg/s 0.0
INFO: 27-10-2022 18:08:24 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.0 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.74 0.80 0.19	yaw: -11.84	msg/s 0.0
INFO: 27-10-2022 18:08:25 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.006 0.002 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -7.14 -0.78 -6.15	yaw: -13.55	msg/s 0.0
INFO: 27-10-2022 18:08:26 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.74 0.80 0.17	yaw: -12.13	msg/s 0.0
INFO: 27-10-2022 18:08:27 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.005 0.002 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -6.96 -0.74 -5.99	yaw: -13.96	msg/s 0.0
INFO: 27-10-2022 18:08:28 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.45 0.87 0.45	yaw: -11.83	msg/s 0.0
INFO: 27-10-2022 18:08:29 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.005 0.001 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -3.86 0.03 -2.94	yaw: -12.88	msg/s 0.0
INFO: 27-10-2022 18:08:30 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.0                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.43 0.88 0.47	yaw: -11.50	msg/s 0.0
INFO: 27-10-2022 18:08:31 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.004 0.001 0.0                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -4.12 -0.03 -3.19	yaw: -13.44	msg/s 0.0
INFO: 27-10-2022 18:08:32 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.37 0.89 0.53	yaw: -11.50	msg/s 0.0
INFO: 27-10-2022 18:08:33 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.005 0.001 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -3.56 0.11 -2.61	yaw: -12.89	msg/s 0.0
INFO: 27-10-2022 18:08:35 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.0                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.39 0.89 0.51	yaw: -11.14	msg/s 0.0
INFO: 27-10-2022 18:08:36 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.005 0.001 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -4.33 -0.08 -3.38	yaw: -13.30	msg/s 0.0
INFO: 27-10-2022 18:08:37 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.0                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.43 0.88 0.48	yaw: -11.55	msg/s 0.0
INFO: 27-10-2022 18:08:38 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.005 0.002 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -4.59 -0.15 -3.61	yaw: -13.24	msg/s 0.0
INFO: 27-10-2022 18:08:39 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.0                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.53 0.86 0.38	yaw: -11.79	msg/s 0.0
INFO: 27-10-2022 18:08:40 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.005 0.001 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -4.84 -0.21 -3.90	yaw: -13.23	msg/s 0.0
INFO: 27-10-2022 18:08:41 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.41 0.88 0.49	yaw: -11.85	msg/s 0.0
INFO: 27-10-2022 18:08:42 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.004 0.001 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -4.95 -0.24 -3.96	yaw: -13.60	msg/s 0.0
INFO: 27-10-2022 18:08:43 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.47 0.87 0.43	yaw: -11.45	msg/s 0.0
INFO: 27-10-2022 18:08:44 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.006 0.002 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -4.73 -0.19 -3.76	yaw: -13.19	msg/s 0.0
INFO: 27-10-2022 18:08:46 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.47 0.87 0.43	yaw: -12.21	msg/s 0.0
INFO: 27-10-2022 18:08:47 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.005 0.002 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -5.48 -0.37 -4.51	yaw: -13.84	msg/s 0.0
INFO: 27-10-2022 18:08:48 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.50 0.86 0.41	yaw: -11.46	msg/s 0.0
INFO: 27-10-2022 18:08:49 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.006 0.002 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -5.47 -0.37 -4.51	yaw: -13.35	msg/s 0.0
INFO: 27-10-2022 18:08:50 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.34 0.91 0.58	yaw: -9.87	msg/s 0.0
INFO: 27-10-2022 18:08:51 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.004 0.001 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -2.56 0.35 -1.62	yaw: -12.62	msg/s 0.0
INFO: 27-10-2022 18:08:52 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.22 0.96 0.74	yaw: -6.58	msg/s 0.0
INFO: 27-10-2022 18:08:53 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.004 0.001 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -2.65 0.33 -1.71	yaw: -13.02	msg/s 0.0
INFO: 27-10-2022 18:08:54 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.004 0.002 0.002                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -10.45 -1.56 -9.44	yaw: -28.33	msg/s 0.0
INFO: 27-10-2022 18:08:55 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.0 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.18 0.69 -0.27	yaw: -12.03	msg/s 0.0
INFO: 27-10-2022 18:08:57 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.006 0.002 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -7.11 -0.78 -6.09	yaw: -13.78	msg/s 0.0
INFO: 27-10-2022 18:08:58 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.66 0.82 0.26	yaw: -11.44	msg/s 0.0
INFO: 27-10-2022 18:08:59 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.006 0.002 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -4.66 -0.17 -3.69	yaw: -13.64	msg/s 0.0
INFO: 27-10-2022 18:09:00 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.41 0.88 0.49	yaw: -11.60	msg/s 0.0
INFO: 27-10-2022 18:09:01 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.004 0.001 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -2.62 0.34 -1.69	yaw: -12.88	msg/s 0.0
INFO: 27-10-2022 18:09:02 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.005 0.003 0.002                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -12.42 -2.08 -11.29	yaw: -28.36	msg/s 0.0
INFO: 27-10-2022 18:09:03 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.001 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.77 0.80 0.19	yaw: -11.63	msg/s 0.0
INFO: 27-10-2022 18:09:04 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.006 0.002 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -7.98 -0.99 -7.00	yaw: -13.74	msg/s 0.0
