INFO: 03-11-2022 19:47:23 __init__(113) -- This is drone log from Drogno_5
INFO: 03-11-2022 19:47:54 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 55	flight time: 0s                    	pos -0.96 0.08 -0.01	yaw: 3.98	msg/s 0.0
INFO: 03-11-2022 19:47:55 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 55	flight time: 0s                    	pos -0.96 0.08 -0.01	yaw: 3.59	msg/s 0.0
INFO: 03-11-2022 19:47:56 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 55	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.27	msg/s 0.0
INFO: 03-11-2022 19:47:57 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.10	msg/s 0.0
INFO: 03-11-2022 19:47:58 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.08 -0.00	yaw: 3.94	msg/s 0.0
INFO: 03-11-2022 19:48:00 log_status(194) -- Drogno_5: ready	battery: 4.16                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.22	msg/s 0.0
INFO: 03-11-2022 19:48:01 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.21	msg/s 0.0
INFO: 03-11-2022 19:48:02 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.35	msg/s 0.0
INFO: 03-11-2022 19:48:03 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 55	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.43	msg/s 0.0
INFO: 03-11-2022 19:48:04 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 3.95	msg/s 0.0
INFO: 03-11-2022 19:48:05 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.21	msg/s 0.0
INFO: 03-11-2022 19:48:06 log_status(194) -- Drogno_5: ready	battery: 4.16                    	kalman var: 0.0 0.0 0.001                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.08 -0.01	yaw: 4.38	msg/s 0.0
INFO: 03-11-2022 19:48:07 log_status(194) -- Drogno_5: ready	battery: 4.16                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 55	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.23	msg/s 0.0
INFO: 03-11-2022 19:48:08 log_status(194) -- Drogno_5: ready	battery: 4.16                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.30	msg/s 0.0
INFO: 03-11-2022 19:48:09 log_status(194) -- Drogno_5: ready	battery: 4.16                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.29	msg/s 0.0
INFO: 03-11-2022 19:48:11 log_status(194) -- Drogno_5: ready	battery: 4.16                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.08 -0.00	yaw: 3.75	msg/s 0.0
