INFO: 28-10-2022 20:28:42 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 20:28:45 log_status(183) -- Logger started
INFO: 28-10-2022 20:29:12 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 14.125 14.125 0.029                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.46 -77.94 0.39	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 20:29:13 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 15.719 15.719 0.03                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.51 -84.94 0.40	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 20:29:14 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 17.125 17.125 0.031                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.54 -91.06 0.40	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:29:15 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 18.938 18.938 0.033                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.58 -98.69 0.40	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:29:16 log_status(187) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.006 0.006 0.001                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.00 -0.06 -0.00	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 20:29:18 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.02 -0.40 -0.01	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 20:29:19 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.096 0.096 0.003                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.04 -0.92 -0.02	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 20:29:20 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.194 0.194 0.005                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.08 -1.80 -0.03	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:29:21 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.307 0.307 0.006                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.11 -2.77 -0.04	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:29:22 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.482 0.482 0.007                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.14 -4.22 -0.06	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 20:29:23 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.663 0.663 0.008                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.17 -5.65 -0.07	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:29:24 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.926 0.926 0.009                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.21 -7.65 -0.08	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:29:25 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.185 1.185 0.01                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.24 -9.55 -0.10	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 20:29:26 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.544 1.544 0.011                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.26 -12.08 -0.13	yaw: 0.03	msg/s 0.0
