INFO: 18-11-2022 19:48:32 __init__(113) -- This is drone log from Drogno_3
INFO: 18-11-2022 19:48:35 log_status(192) -- Logger started
INFO: 18-11-2022 19:49:03 log_status(196) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 14.141 14.141 0.03                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 33.16 6.82 0.65	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:49:04 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 15.734 15.734 0.031                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 36.34 7.48 0.72	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:49:05 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 17.156 17.156 0.032                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 39.09 8.07 0.77	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 19:49:06 log_status(196) -- Drogno_3: out of BOX	battery: 4.18                    	kalman var: 18.938 18.938 0.034                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 42.50 8.79 0.84	yaw: 0.04	msg/s 0.0
INFO: 18-11-2022 19:49:07 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 20.531 20.531 0.035                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 45.47 9.41 0.91	yaw: 0.04	msg/s 0.0
INFO: 18-11-2022 19:49:08 log_status(196) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 22.562 22.562 0.036                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 49.19 10.20 0.99	yaw: 0.04	msg/s 0.0
INFO: 18-11-2022 19:49:10 log_status(196) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 24.344 24.344 0.037                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 52.38 10.88 1.06	yaw: 0.04	msg/s 0.0
INFO: 18-11-2022 19:49:11 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 26.594 26.594 0.039                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 56.34 11.73 1.14	yaw: 0.04	msg/s 0.0
INFO: 18-11-2022 19:49:12 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 28.562 28.562 0.04                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 59.75 12.46 1.21	yaw: 0.04	msg/s 0.0
INFO: 18-11-2022 19:49:13 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 31.062 31.062 0.041                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 63.94 13.37 1.30	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:49:14 log_status(196) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 33.25 33.25 0.043                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 67.56 14.15 1.38	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 19:49:15 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 35.969 35.969 0.044                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 72.00 15.11 1.47	yaw: 0.03	msg/s 0.0
