INFO: 18-11-2022 18:28:14 __init__(113) -- This is drone log from Drogno_3
INFO: 18-11-2022 18:28:44 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 14.148 14.148 0.029                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos 42.12 10.98 -0.41	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 18:28:45 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 15.75 15.75 0.03                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos 45.88 11.95 -0.47	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 18:28:46 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 17.172 17.172 0.031                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos 49.09 12.80 -0.52	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 18:28:47 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 18.969 18.969 0.032                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos 53.09 13.84 -0.58	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 18:28:49 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 20.562 20.562 0.034                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos 56.56 14.74 -0.63	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 18:28:50 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 22.578 22.578 0.035                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos 60.81 15.86 -0.70	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 18:28:51 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 24.359 24.359 0.036                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos 64.50 16.83 -0.77	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 18:28:52 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 26.609 26.609 0.037                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos 69.06 18.03 -0.85	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 18:28:53 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 28.578 28.578 0.038                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos 72.94 19.05 -0.92	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 18:28:54 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 31.078 31.078 0.039                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 77.81 20.31 -1.01	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 18:28:55 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 33.25 33.25 0.04                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos 81.94 21.41 -1.09	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 18:28:56 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 34.969 36.031 1.242                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 87.06 22.77 -1.18	yaw: -1.34	msg/s 0.0
INFO: 18-11-2022 18:28:57 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 38.125 39.188 1.353                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos 91.44 23.95 -1.21	yaw: -27.38	msg/s 0.0
INFO: 18-11-2022 18:28:58 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 43.094 15.898 27.453                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos 96.38 25.81 -1.15	yaw: -11.62	msg/s 0.0
INFO: 18-11-2022 18:29:00 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.00 0.01 -0.00	yaw: -0.14	msg/s 0.0
INFO: 18-11-2022 18:29:01 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 0.015 0.016 0.004                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos 1.34 4.06 -1.20	yaw: 13.24	msg/s 0.0
INFO: 18-11-2022 18:29:02 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 0.007 0.007 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.27 0.63 -0.06	yaw: -1.29	msg/s 0.0
INFO: 18-11-2022 18:29:03 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 0.042 0.042 0.003                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -1.54 3.79 -0.41	yaw: -0.62	msg/s 0.0
INFO: 18-11-2022 18:29:04 log_status(194) -- Drogno_3: ready	battery: 3.59                    	kalman var: 0.097 0.097 0.004                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -3.48 7.54 -0.99	yaw: 1.53	msg/s 0.0
INFO: 18-11-2022 18:29:05 log_status(194) -- Drogno_3: ready	battery: 3.56                    	kalman var: 0.19 0.196 0.014                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -7.24 11.30 -2.24	yaw: 1.94	msg/s 0.0
INFO: 18-11-2022 18:29:06 log_status(194) -- Drogno_3: ready	battery: 3.61                    	kalman var: 0.297 0.308 0.023                    	batterySag: 0.5	link quality: 44	flight time: 4s                    	pos -12.24 13.55 -3.99	yaw: 5.23	msg/s 0.0
INFO: 18-11-2022 18:29:07 log_status(194) -- Drogno_3: ready	battery: 3.61                    	kalman var: 0.467 0.479 0.035                    	batterySag: 0.5	link quality: 44	flight time: 6s                    	pos -20.59 14.73 -7.21	yaw: 6.87	msg/s 0.0
INFO: 18-11-2022 18:29:08 log_status(194) -- Drogno_3: hovering	battery: 3.61                    	kalman var: 0.534 0.545 0.038                    	batterySag: 0.5	link quality: 46	flight time: 7s                    	pos -23.92 14.68 -8.57	yaw: 6.67	msg/s 0.0
