INFO: 28-10-2022 16:59:25 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 16:59:26 log_status(395) -- Logger started
INFO: 28-10-2022 17:00:09 log_status(399) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.701 0.701 0.008                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -2.32 -0.59 0.11	yaw: 0.07	msg/s 0.0
INFO: 28-10-2022 17:00:10 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.972 0.972 0.009                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -3.12 -0.78 0.15	yaw: 0.06	msg/s 0.0
INFO: 28-10-2022 17:00:11 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.238 1.238 0.01                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -3.87 -0.96 0.18	yaw: 0.07	msg/s 0.0
INFO: 28-10-2022 17:00:12 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.608 1.608 0.012                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -4.87 -1.20 0.23	yaw: 0.07	msg/s 0.0
INFO: 28-10-2022 17:00:13 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.96 1.96 0.013                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -5.78 -1.42 0.28	yaw: 0.08	msg/s 0.0
INFO: 28-10-2022 17:00:14 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.441 2.441 0.014                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -6.99 -1.71 0.33	yaw: 0.10	msg/s 0.0
INFO: 28-10-2022 17:00:16 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.895 2.895 0.015                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -8.09 -1.98 0.39	yaw: 0.10	msg/s 0.0
INFO: 28-10-2022 17:00:17 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.5 3.5 0.016                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -9.49 -2.32 0.45	yaw: 0.09	msg/s 0.0
INFO: 28-10-2022 17:00:18 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.059 4.059 0.017                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -10.75 -2.62 0.51	yaw: 0.09	msg/s 0.0
INFO: 28-10-2022 17:00:19 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.801 4.801 0.018                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -12.37 -3.02 0.59	yaw: 0.11	msg/s 0.0
