INFO: 01-11-2022 17:41:14 __init__(113) -- This is drone log from Drogno_0
INFO: 01-11-2022 17:41:17 log_status(190) -- Logger started
INFO: 01-11-2022 17:41:18 log_status(194) -- Drogno_0: ready	battery: 4.16                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos -0.04 -0.04 -0.00	yaw: -0.01	msg/s 0.9
INFO: 01-11-2022 17:41:20 log_status(194) -- Drogno_0: BAD kalman	battery: 4.16                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -0.17 -0.18 -0.01	yaw: 0.01	msg/s 0.0
INFO: 01-11-2022 17:41:21 log_status(194) -- Drogno_0: BAD kalman	battery: 4.16                    	kalman var: 0.108 0.108 0.003                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos -0.43 -0.47 -0.03	yaw: 0.03	msg/s 0.0
INFO: 01-11-2022 17:41:22 log_status(194) -- Drogno_0: BAD kalman	battery: 4.16                    	kalman var: 0.214 0.214 0.005                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos -0.82 -0.88 -0.05	yaw: 0.05	msg/s 0.0
INFO: 01-11-2022 17:41:23 log_status(194) -- Drogno_0: BAD kalman	battery: 4.16                    	kalman var: 0.332 0.332 0.006                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -1.25 -1.34 -0.09	yaw: 0.05	msg/s 0.0
INFO: 01-11-2022 17:41:24 log_status(194) -- Drogno_0: BAD kalman	battery: 4.16                    	kalman var: 0.513 0.513 0.007                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos -1.86 -2.00 -0.14	yaw: 0.07	msg/s 0.0
INFO: 01-11-2022 17:41:25 log_status(194) -- Drogno_0: BAD kalman	battery: 4.16                    	kalman var: 0.701 0.701 0.008                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos -2.47 -2.66 -0.18	yaw: 0.08	msg/s 0.0
INFO: 01-11-2022 17:41:26 log_status(194) -- Drogno_0: out of BOX	battery: 4.16                    	kalman var: 0.972 0.972 0.009                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -3.31 -3.57 -0.25	yaw: 0.09	msg/s 0.0
INFO: 01-11-2022 17:41:27 log_status(194) -- Drogno_0: ready	battery: 4.16                    	kalman var: 1.236 1.236 0.01                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos -4.10 -4.41 -0.32	yaw: 0.09	msg/s 0.0
INFO: 01-11-2022 17:41:28 log_status(194) -- Drogno_0: ready	battery: 4.17                    	kalman var: 1.607 1.607 0.012                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -5.16 -5.56 -0.40	yaw: 0.10	msg/s 0.0
INFO: 01-11-2022 17:41:29 log_status(194) -- Drogno_0: ready	battery: 4.17                    	kalman var: 1.964 1.964 0.013                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -6.15 -6.61 -0.48	yaw: 0.10	msg/s 0.0
INFO: 01-11-2022 17:41:31 log_status(194) -- Drogno_0: ready	battery: 4.17                    	kalman var: 2.443 2.443 0.014                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -7.43 -7.98 -0.58	yaw: 0.10	msg/s 0.0
INFO: 01-11-2022 17:41:32 log_status(194) -- Drogno_0: ready	battery: 4.17                    	kalman var: 2.898 2.898 0.015                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -8.60 -9.22 -0.68	yaw: 0.11	msg/s 0.0
INFO: 01-11-2022 17:41:33 log_status(194) -- Drogno_0: ready	battery: 4.17                    	kalman var: 3.508 3.508 0.016                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos -10.13 -10.82 -0.80	yaw: 0.11	msg/s 0.0
INFO: 01-11-2022 17:41:34 log_status(194) -- Drogno_0: ready	battery: 4.17                    	kalman var: 4.066 4.066 0.017                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -11.49 -12.23 -0.90	yaw: 1.43	msg/s 0.0
INFO: 01-11-2022 17:41:35 log_status(194) -- Drogno_0: ready	battery: 3.95                    	kalman var: 4.742 4.812 0.093                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -13.53 -13.73 -1.06	yaw: 0.50	msg/s 0.0
INFO: 01-11-2022 17:41:36 log_status(194) -- Drogno_0: ready	battery: 3.94                    	kalman var: 5.41 5.496 0.109                    	batterySag: 0.5	link quality: 43	flight time: 1s                    	pos -16.38 -14.54 -1.34	yaw: 0.46	msg/s 0.0
INFO: 01-11-2022 17:41:37 log_status(194) -- Drogno_0: ready	battery: 3.94                    	kalman var: 5.41 5.496 0.109                    	batterySag: 0.5	link quality: 42	flight time: 2s                    	pos -21.36 -21.36 -21.36	yaw: 0.37	msg/s 0.0
INFO: 01-11-2022 17:41:38 log_status(194) -- Drogno_0: ready	battery: 3.93                    	kalman var: 5.41 5.496 0.109                    	batterySag: 0.5	link quality: 42	flight time: 3s                    	pos -27.55 -27.55 -27.55	yaw: 0.28	msg/s 0.0
INFO: 01-11-2022 17:41:39 log_status(194) -- Drogno_0: landed	battery: 3.93                    	kalman var: 5.41 5.496 0.109                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -32.29 -32.29 -32.29	yaw: 0.26	msg/s 0.0
INFO: 01-11-2022 17:41:40 log_status(194) -- Drogno_0: seq1	battery: 4.14                    	kalman var: 8.719 9.086 0.458                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -42.16 -16.16 -4.14	yaw: -0.58	msg/s 0.9
INFO: 01-11-2022 17:41:42 log_status(194) -- Drogno_0: ready	battery: 3.93                    	kalman var: 10.008 10.32 0.373                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -52.16 -16.41 -5.16	yaw: 0.59	msg/s 0.0
INFO: 01-11-2022 17:41:43 log_status(194) -- Drogno_0: hovering	battery: 3.92                    	kalman var: 0.003 0.003 0.001                    	batterySag: 0.5	link quality: 44	flight time: 1s                    	pos -0.01 -0.02 -0.02	yaw: 0.00	msg/s 0.0
INFO: 01-11-2022 17:41:44 log_status(194) -- Drogno_0: ready	battery: 3.92                    	kalman var: 0.003 0.003 0.001                    	batterySag: 0.5	link quality: 44	flight time: 2s                    	pos -0.05 -0.05 -0.05	yaw: -0.00	msg/s 0.9
INFO: 01-11-2022 17:41:45 log_status(194) -- Drogno_0: ready	battery: 3.92                    	kalman var: 0.003 0.003 0.001                    	batterySag: 0.5	link quality: 45	flight time: 4s                    	pos -0.12 -0.12 -0.12	yaw: -0.01	msg/s 0.0
INFO: 01-11-2022 17:41:46 log_status(194) -- Drogno_0: ready	battery: 3.88                    	kalman var: 0.003 0.003 0.001                    	batterySag: 0.5	link quality: 45	flight time: 5s                    	pos -0.25 -0.25 -0.25	yaw: -0.03	msg/s 0.0
INFO: 01-11-2022 17:41:47 log_status(194) -- Drogno_0: ready	battery: 4.11                    	kalman var: 0.003 0.003 0.001                    	batterySag: 0.5	link quality: 44	flight time: 6s                    	pos -0.42 -0.42 -0.42	yaw: -0.42	msg/s 0.9
INFO: 01-11-2022 17:41:48 log_status(194) -- Drogno_0: ready	battery: 4.12                    	kalman var: 0.003 0.003 0.001                    	batterySag: 0.5	link quality: 45	flight time: 7s                    	pos 0.75 0.75 0.75	yaw: -0.76	msg/s 0.0
INFO: 01-11-2022 17:41:49 log_status(194) -- Drogno_0: ready	battery: 4.13                    	kalman var: 0.003 0.003 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos 2.24 2.24 2.24	yaw: -0.83	msg/s 0.0
INFO: 01-11-2022 17:41:50 log_status(194) -- Drogno_0: ready	battery: 3.85                    	kalman var: 0.862 0.862 0.01                    	batterySag: 0.5	link quality: 45	flight time: 1s                    	pos 7.14 -5.05 -5.57	yaw: -0.07	msg/s 0.0
INFO: 01-11-2022 17:41:51 log_status(194) -- Drogno_0: hovering	battery: 3.97                    	kalman var: 1.058 1.06 0.012                    	batterySag: 0.5	link quality: 44	flight time: 2s                    	pos 9.48 -6.59 -6.78	yaw: -0.21	msg/s 0.0
INFO: 01-11-2022 17:41:53 log_status(194) -- Drogno_0: ready	battery: 3.83                    	kalman var: 1.058 1.06 0.012                    	batterySag: 0.5	link quality: 51	flight time: 3s                    	pos 13.17 13.17 13.17	yaw: 0.10	msg/s 0.0
INFO: 01-11-2022 17:41:54 log_status(194) -- Drogno_0: ready	battery: 3.83                    	kalman var: 1.058 1.06 0.012                    	batterySag: 0.5	link quality: 45	flight time: 4s                    	pos 15.67 15.67 15.67	yaw: 0.03	msg/s 0.0
INFO: 01-11-2022 17:41:55 log_status(194) -- Drogno_0: ready	battery: 3.82                    	kalman var: 1.058 1.06 0.012                    	batterySag: 0.5	link quality: 44	flight time: 5s                    	pos 17.92 17.92 17.92	yaw: 0.07	msg/s 0.0
INFO: 01-11-2022 17:41:56 log_status(194) -- Drogno_0: ready	battery: 4.1                    	kalman var: 1.058 1.06 0.012                    	batterySag: 0.5	link quality: 46	flight time: 6s                    	pos 20.69 20.69 20.69	yaw: -1.08	msg/s 0.0
INFO: 01-11-2022 17:41:57 log_status(194) -- Drogno_0: landed	battery: 4.11                    	kalman var: 1.058 1.06 0.012                    	batterySag: 0.5	link quality: 44	flight time: 7s                    	pos 0.32 0.32 0.32	yaw: 0.08	msg/s 0.0
INFO: 01-11-2022 17:41:58 log_status(194) -- Drogno_0: ready	battery: 4.12                    	kalman var: 0.028 0.028 0.002                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 3.12 -0.70 -0.43	yaw: -0.01	msg/s 0.0
INFO: 01-11-2022 17:41:59 log_status(194) -- Drogno_0: ready	battery: 3.84                    	kalman var: 0.073 0.073 0.003                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 7.79 -1.77 -1.09	yaw: 0.44	msg/s 0.0
