INFO: 27-10-2022 19:54:02 __init__(112) -- This is drone log from Drogno_3
INFO: 27-10-2022 19:54:31 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 12.648 12.648 0.028                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -37.81 -69.75 -0.31	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:54:32 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 13.883 13.883 0.029                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -40.84 -75.19 -0.33	yaw: 0.08	msg/s 0.0
INFO: 27-10-2022 19:54:33 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 15.469 15.469 0.03                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -44.62 -82.06 -0.35	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:54:35 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 16.875 16.875 0.031                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -47.94 -88.00 -0.37	yaw: 0.08	msg/s 0.0
INFO: 27-10-2022 19:54:36 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 18.656 18.656 0.033                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -52.06 -95.44 -0.39	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:54:37 log_status(399) -- Drogno_3: ready	battery: 4.2                    	kalman var: 0.001 0.001 0.0                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -0.00 -0.01 -0.00	yaw: 0.00	msg/s 0.0
INFO: 27-10-2022 19:54:38 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.022 0.022 0.002                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos -0.11 -0.22 -0.00	yaw: 0.03	msg/s 0.0
INFO: 27-10-2022 19:54:39 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.065 0.065 0.003                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -0.30 -0.62 -0.00	yaw: 0.04	msg/s 0.0
INFO: 27-10-2022 19:54:40 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.147 0.147 0.004                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -0.67 -1.36 -0.01	yaw: 0.05	msg/s 0.0
INFO: 27-10-2022 19:54:41 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.246 0.246 0.005                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -1.09 -2.21 -0.01	yaw: 0.05	msg/s 0.0
INFO: 27-10-2022 19:54:42 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.402 0.402 0.006                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -1.75 -3.48 -0.02	yaw: 0.05	msg/s 0.0
INFO: 27-10-2022 19:54:43 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.566 0.566 0.007                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -2.41 -4.77 -0.02	yaw: 0.06	msg/s 0.0
INFO: 27-10-2022 19:54:44 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.805 0.805 0.009                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -3.34 -6.57 -0.03	yaw: 0.05	msg/s 0.0
INFO: 27-10-2022 19:54:46 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.045 1.045 0.01                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -4.23 -8.30 -0.03	yaw: 0.06	msg/s 0.0
INFO: 27-10-2022 19:54:47 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.383 1.383 0.011                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -5.47 -10.66 -0.03	yaw: 0.08	msg/s 0.0
INFO: 27-10-2022 19:54:48 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.709 1.709 0.012                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -6.62 -12.86 -0.04	yaw: 0.10	msg/s 0.0
INFO: 27-10-2022 19:54:49 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 2.154 2.154 0.013                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -8.16 -15.75 -0.04	yaw: 0.10	msg/s 0.0
INFO: 27-10-2022 19:54:50 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 2.572 2.572 0.014                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -9.55 -18.36 -0.05	yaw: 0.11	msg/s 0.0
INFO: 27-10-2022 19:54:51 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 3.137 3.137 0.016                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -11.38 -21.80 -0.05	yaw: 0.11	msg/s 0.0
INFO: 27-10-2022 19:54:52 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 3.664 3.664 0.017                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -13.05 -24.89 -0.06	yaw: 0.12	msg/s 0.0
INFO: 27-10-2022 19:54:53 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 4.359 4.359 0.018                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -15.20 -28.88 -0.06	yaw: 0.12	msg/s 0.0
INFO: 27-10-2022 19:54:54 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 5.004 5.004 0.019                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -17.11 -32.44 -0.07	yaw: 0.11	msg/s 0.0
