INFO: 28-10-2022 19:54:41 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 19:55:11 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 14.102 14.102 0.03                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -27.41 -23.67 1.21	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 19:55:12 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 15.695 15.688 0.031                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -29.94 -26.00 1.29	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 19:55:13 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 17.109 17.109 0.033                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -32.16 -28.03 1.36	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 19:55:14 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 18.906 18.906 0.034                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -34.91 -30.59 1.44	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 19:55:16 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 20.5 20.5 0.035                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -37.31 -32.81 1.51	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 19:55:17 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 22.5 22.5 0.037                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -40.28 -35.56 1.60	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 19:55:18 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 24.672 24.656 0.038                    	batterySag: 0.5	link quality: 40	flight time: 0s                    	pos -42.97 -38.03 1.68	yaw: -33.75	msg/s 0.0
INFO: 28-10-2022 19:55:19 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 27.344 27.344 0.042                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos -46.09 -41.47 1.76	yaw: -73.62	msg/s 0.0
INFO: 28-10-2022 19:55:20 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 28.906 28.906 0.043                    	batterySag: 0.5	link quality: 52	flight time: 0s                    	pos -48.59 -44.69 1.83	yaw: -67.00	msg/s 0.0
INFO: 28-10-2022 19:55:21 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 31.172 31.141 0.046                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -51.41 -49.12 1.92	yaw: -58.50	msg/s 0.0
INFO: 28-10-2022 19:55:22 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 32.969 32.938 0.047                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -53.53 -53.19 2.01	yaw: -53.12	msg/s 0.0
INFO: 28-10-2022 19:55:23 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 35.25 35.188 0.049                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -55.88 -58.53 2.12	yaw: -47.34	msg/s 0.0
INFO: 28-10-2022 19:55:24 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 37.25 37.188 0.05                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -57.66 -63.34 2.21	yaw: -42.97	msg/s 0.0
INFO: 28-10-2022 19:55:25 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 39.781 39.75 0.052                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -59.56 -69.56 2.31	yaw: -38.19	msg/s 0.0
INFO: 28-10-2022 19:55:27 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 42.031 41.969 0.054                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -60.97 -75.12 2.41	yaw: -34.59	msg/s 0.0
INFO: 28-10-2022 19:55:28 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 44.844 44.781 0.056                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -62.44 -82.12 2.52	yaw: -30.73	msg/s 0.0
INFO: 28-10-2022 19:55:29 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 47.281 47.25 0.057                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -63.50 -88.25 2.62	yaw: -27.86	msg/s 0.0
INFO: 28-10-2022 19:55:30 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 50.406 50.344 0.059                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -64.62 -96.06 2.74	yaw: -24.72	msg/s 0.0
INFO: 28-10-2022 19:55:31 log_status(187) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.002 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.00 -0.02 0.00	yaw: 0.01	msg/s 0.0
