INFO: 28-10-2022 19:26:20 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 19:26:23 log_status(183) -- Logger started
INFO: 28-10-2022 19:26:24 log_status(187) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.03 -0.02 0.00	yaw: -0.01	msg/s 0.9
INFO: 28-10-2022 19:26:25 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.14 -0.09 0.00	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 19:26:26 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.109 0.109 0.003                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.37 -0.23 0.01	yaw: -0.01	msg/s 0.9
INFO: 28-10-2022 19:26:28 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.194 0.194 0.004                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.64 -0.40 0.01	yaw: -0.00	msg/s 0.9
INFO: 28-10-2022 19:26:29 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.333 0.333 0.006                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -1.07 -0.66 0.02	yaw: 0.01	msg/s 0.9
INFO: 28-10-2022 19:26:30 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.515 0.515 0.007                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -1.60 -0.99 0.03	yaw: 0.01	msg/s 0.9
INFO: 28-10-2022 19:26:31 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.701 0.701 0.008                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -2.12 -1.31 0.04	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 19:26:32 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.971 0.971 0.009                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -2.86 -1.77 0.05	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:26:33 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.237 1.237 0.01                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -3.55 -2.20 0.06	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:26:34 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.608 1.608 0.012                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -4.49 -2.77 0.06	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:26:35 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.959 1.959 0.013                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -5.34 -3.30 0.07	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:26:36 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.441 2.441 0.014                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -6.47 -3.99 0.07	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:26:37 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.895 2.895 0.015                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -7.49 -4.62 0.08	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:26:39 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.5 3.5 0.016                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -8.83 -5.43 0.09	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:26:40 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.059 4.059 0.017                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -10.02 -6.17 0.10	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:26:41 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.805 4.805 0.018                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -11.55 -7.11 0.10	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:26:42 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.48 5.48 0.02                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -12.92 -7.95 0.11	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:26:43 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.363 6.363 0.021                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -14.66 -9.02 0.13	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 19:26:44 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.172 7.172 0.022                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -16.20 -9.97 0.14	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:26:45 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.219 8.219 0.023                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -18.17 -11.17 0.16	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:26:46 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 9.164 9.164 0.024                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -19.91 -12.23 0.18	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:26:47 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.375 10.375 0.025                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -22.08 -13.55 0.21	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:26:48 log_status(187) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 11.469 11.469 0.027                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -24.00 -14.72 0.23	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:26:50 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 12.859 12.859 0.028                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -26.41 -16.19 0.26	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:26:51 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 14.102 14.102 0.029                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -28.52 -17.47 0.28	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:26:52 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 15.695 15.695 0.03                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -31.16 -19.06 0.31	yaw: 0.02	msg/s 0.0
WARNING: 28-10-2022 19:26:52 exit(681) -- closing Drogno_3
