INFO: 28-10-2022 21:55:48 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 21:56:17 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 12.938 12.938 0.028                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 3.11 -74.56 -0.70	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 21:56:18 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 14.195 14.195 0.029                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 3.27 -80.38 -0.75	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 21:56:19 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 15.797 15.797 0.031                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 3.46 -87.56 -0.82	yaw: -0.10	msg/s 0.0
INFO: 28-10-2022 21:56:20 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 17.219 17.219 0.032                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 3.62 -93.81 -0.87	yaw: -0.10	msg/s 0.0
INFO: 28-10-2022 21:56:22 log_status(194) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.001 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.00 -0.01 -0.00	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 21:56:23 log_status(194) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.016 0.016 0.001                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.01 -0.16 -0.00	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 21:56:24 log_status(194) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.062 0.062 0.003                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.05 -0.63 -0.01	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 21:56:25 log_status(194) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.128 0.128 0.004                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.11 -1.25 -0.02	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 21:56:26 log_status(194) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.241 0.241 0.005                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.19 -2.29 -0.03	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 21:56:27 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.368 0.368 0.006                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.28 -3.39 -0.05	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 21:56:28 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.56 0.56 0.007                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.39 -4.98 -0.07	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 21:56:29 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.757 0.757 0.008                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.49 -6.55 -0.09	yaw: -0.05	msg/s 0.0
INFO: 28-10-2022 21:56:30 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.04 1.04 0.01                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.63 -8.71 -0.12	yaw: -0.06	msg/s 0.0
INFO: 28-10-2022 21:56:31 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.316 1.316 0.011                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.75 -10.74 -0.15	yaw: -0.07	msg/s 0.0
INFO: 28-10-2022 21:56:33 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.702 1.702 0.012                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.88 -13.47 -0.19	yaw: -0.07	msg/s 0.0
INFO: 28-10-2022 21:56:34 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.064 2.064 0.013                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.99 -15.95 -0.23	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 21:56:35 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.564 2.564 0.014                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.11 -19.23 -0.27	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 21:56:36 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.033 3.033 0.015                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.21 -22.20 -0.32	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 21:56:37 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.658 3.658 0.017                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.32 -26.05 -0.38	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 21:56:38 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.234 4.234 0.018                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.40 -29.50 -0.44	yaw: -0.10	msg/s 0.0
INFO: 28-10-2022 21:56:39 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.0 5.0 0.019                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.47 -33.94 -0.51	yaw: -0.09	msg/s 0.0
INFO: 28-10-2022 21:56:40 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.699 5.699 0.02                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.53 -37.84 -0.58	yaw: -0.09	msg/s 0.0
INFO: 28-10-2022 21:56:41 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.605 6.605 0.022                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.58 -42.81 -0.66	yaw: -0.10	msg/s 0.0
INFO: 28-10-2022 21:56:42 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.434 7.434 0.023                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.60 -47.22 -0.73	yaw: -0.09	msg/s 0.0
INFO: 28-10-2022 21:56:44 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.508 8.508 0.024                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.62 -52.78 -0.83	yaw: -0.09	msg/s 0.0
INFO: 28-10-2022 21:56:45 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 9.477 9.477 0.025                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.61 -57.69 -0.91	yaw: -0.09	msg/s 0.0
INFO: 28-10-2022 21:56:46 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.727 10.727 0.026                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.60 -63.84 -1.01	yaw: -0.10	msg/s 0.0
INFO: 28-10-2022 21:56:47 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 11.844 11.844 0.028                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.58 -69.19 -1.11	yaw: -0.09	msg/s 0.0
INFO: 28-10-2022 21:56:48 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 13.266 13.266 0.029                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.54 -75.88 -1.22	yaw: -0.09	msg/s 0.0
INFO: 28-10-2022 21:56:49 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 14.539 14.539 0.03                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.50 -81.69 -1.33	yaw: -0.09	msg/s 0.0
INFO: 28-10-2022 21:56:50 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 16.172 16.172 0.031                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.43 -89.00 -1.46	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 21:56:51 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 17.625 17.625 0.033                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.37 -95.31 -1.57	yaw: -0.09	msg/s 0.0
INFO: 28-10-2022 21:56:52 log_status(194) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.002 0.001                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.00 -0.02 -0.00	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 21:56:53 log_status(194) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.022 0.022 0.002                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.02 -0.23 -0.01	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 21:56:55 log_status(194) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.076 0.076 0.003                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.06 -0.75 -0.02	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 21:56:56 log_status(194) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.148 0.148 0.004                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.11 -1.42 -0.03	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 21:56:57 log_status(194) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.27 0.27 0.005                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.18 -2.50 -0.05	yaw: -0.04	msg/s 0.0
INFO: 28-10-2022 21:56:58 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.403 0.403 0.006                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.25 -3.64 -0.07	yaw: -0.06	msg/s 0.0
INFO: 28-10-2022 21:56:59 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.604 0.604 0.008                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.33 -5.29 -0.11	yaw: -0.07	msg/s 0.0
INFO: 28-10-2022 21:57:00 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.809 0.809 0.009                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.41 -6.89 -0.15	yaw: -0.07	msg/s 0.0
INFO: 28-10-2022 21:57:01 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.1 1.1 0.01                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.50 -9.09 -0.19	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 21:57:02 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.386 1.386 0.011                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.59 -11.17 -0.23	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 21:57:03 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.783 1.783 0.012                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.69 -13.96 -0.29	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 21:57:04 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.16 2.16 0.013                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.78 -16.52 -0.35	yaw: -0.07	msg/s 0.0
INFO: 28-10-2022 21:57:06 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.672 2.672 0.015                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.88 -19.86 -0.42	yaw: -0.07	msg/s 0.0
