INFO: 28-10-2022 21:49:02 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 21:49:05 log_status(189) -- Logger started
INFO: 28-10-2022 21:49:06 log_status(193) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.01 -0.11 -0.00	yaw: 0.01	msg/s 0.9
INFO: 28-10-2022 21:49:07 log_status(193) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 0.05 -0.43 -0.02	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 21:49:08 log_status(193) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.109 0.109 0.003                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.13 -1.12 -0.04	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 21:49:10 log_status(193) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.214 0.214 0.005                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.24 -2.12 -0.09	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 21:49:11 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.333 0.333 0.006                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 0.38 -3.21 -0.13	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 21:49:12 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.514 0.514 0.007                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 0.58 -4.78 -0.20	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 21:49:13 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.702 0.702 0.008                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.80 -6.34 -0.28	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 21:49:14 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.973 0.973 0.009                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 1.12 -8.50 -0.38	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 21:49:15 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.239 1.239 0.01                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 1.43 -10.54 -0.48	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 21:49:16 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.612 1.612 0.012                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.87 -13.28 -0.61	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 21:49:17 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.968 1.968 0.013                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 2.28 -15.80 -0.74	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 21:49:18 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.449 2.449 0.014                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 2.84 -19.06 -0.90	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 21:49:19 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.904 2.904 0.015                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 3.36 -22.06 -1.04	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 21:49:21 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.514 3.514 0.016                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 4.03 -25.92 -1.23	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 21:49:22 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.078 4.078 0.018                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 4.64 -29.39 -1.41	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 21:49:23 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.824 4.824 0.019                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 5.44 -33.84 -1.63	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 21:49:24 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.504 5.504 0.02                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 6.16 -37.75 -1.83	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 21:49:25 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.395 6.395 0.021                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 7.09 -42.75 -2.09	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 21:49:26 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.203 7.203 0.022                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 7.92 -47.16 -2.32	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 21:49:27 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.258 8.258 0.024                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 8.98 -52.72 -2.62	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 21:49:28 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 9.203 9.203 0.025                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 9.91 -57.59 -2.88	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 21:49:29 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.43 10.43 0.026                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 11.10 -63.75 -3.21	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 21:49:30 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 11.531 11.531 0.027                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 12.16 -69.12 -3.50	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 21:49:32 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 12.938 12.938 0.028                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 13.48 -75.81 -3.88	yaw: 0.06	msg/s 0.0
INFO: 28-10-2022 21:49:33 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 14.195 14.195 0.03                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 14.63 -81.69 -4.20	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 21:49:34 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 15.789 15.789 0.031                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 16.06 -88.88 -4.61	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 21:49:35 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 17.219 17.219 0.032                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 17.33 -95.19 -4.96	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 21:49:36 log_status(193) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.002 0.001                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.00 -0.02 -0.00	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 21:49:37 log_status(193) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.022 0.022 0.002                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 0.03 -0.23 -0.01	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 21:49:38 log_status(193) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.074 0.074 0.003                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 0.09 -0.75 -0.05	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 21:49:39 log_status(193) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.145 0.145 0.004                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 0.18 -1.42 -0.09	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 21:49:40 log_status(193) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.266 0.266 0.005                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 0.33 -2.51 -0.16	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 21:49:41 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.399 0.399 0.006                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 0.48 -3.66 -0.24	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 21:49:43 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.6 0.6 0.008                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 0.71 -5.32 -0.34	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 21:49:44 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.802 0.802 0.009                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 0.94 -6.92 -0.45	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 21:49:45 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.094 1.094 0.01                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 1.26 -9.14 -0.59	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 21:49:46 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.38 1.38 0.011                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 1.58 -11.23 -0.72	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 21:49:47 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.774 1.774 0.012                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 2.00 -14.02 -0.90	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 21:49:48 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.15 2.15 0.013                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 2.38 -16.58 -1.05	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 21:49:49 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.656 2.656 0.015                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 2.89 -19.91 -1.26	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 21:49:50 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.133 3.133 0.016                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 3.36 -22.92 -1.45	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 21:49:51 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.771 3.771 0.017                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 3.97 -26.84 -1.69	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 21:49:52 log_status(193) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.359 4.359 0.018                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 4.52 -30.34 -1.92	yaw: 0.05	msg/s 0.0
