Time,x,y,z,Red,Green,Blue
101,-0.5001282691955566,-1.0408821105957031,1.0,0,0,0
201,-0.501103937625885,-1.040889024734497,1.0,0,0,0
302,-0.5019842982292175,-1.0409061908721924,1.0,0,0,0
402,-0.5033879280090332,-1.0409281253814697,1.0,0,0,0
502,-0.5044136047363281,-1.0409443378448486,1.0,0,0,0
603,-0.5059307813644409,-1.040971040725708,1.0,0,0,0
703,-0.507005512714386,-1.0409893989562988,1.0,0,0,0
804,-0.5086851119995117,-1.0410196781158447,1.0,0,0,0
904,-0.5097728967666626,-1.0410401821136475,1.0,0,0,0
1005,-0.5115147829055786,-1.0410730838775635,1.0,0,0,0
1106,-0.5126433372497559,-1.0410945415496826,1.0,0,0,0
1206,-0.5143700242042542,-1.0411295890808105,1.0,0,0,0
1307,-0.5154996514320374,-1.0411524772644043,1.0,0,0,0
1407,-0.5172654986381531,-1.0411889553070068,1.0,0,0,0
1507,-0.51848965883255,-1.0412147045135498,1.0,0,0,0
1608,-0.5202654600143433,-1.0412523746490479,1.0,0,0,0
1708,-0.5214446187019348,-1.0412778854370117,1.0,0,0,0
1808,-0.5233364105224609,-1.0413181781768799,1.0,0,0,0
1909,-0.5244483947753906,-1.0413448810577393,1.0,0,0,0
2010,-0.526302695274353,-1.041386604309082,1.0,78,78,78
2110,-0.5274724960327148,-1.0414133071899414,1.0,106,106,106
2211,-0.5294191837310791,-1.0414557456970215,1.0,155,155,155
2312,-0.5306450128555298,-1.0414843559265137,1.0,194,194,194
2412,-0.5325227379798889,-1.041527271270752,1.0,255,255,255
2512,-0.5336394309997559,-1.0415575504302979,1.0,255,255,255
2613,-0.5355897545814514,-1.0416033267974854,1.0,255,255,255
2713,-0.5367481708526611,-1.041632890701294,1.0,215,215,215
2814,-0.538598895072937,-1.0416784286499023,1.0,155,155,155
2915,-0.5399678349494934,-1.0417096614837646,1.0,121,121,121
3015,-0.5417934060096741,-1.0417540073394775,1.0,78,78,78
3116,-0.5424382090568542,-1.0424468517303467,1.0,55,55,55
3216,-0.5398286581039429,-1.0468180179595947,1.0,27,27,27
3316,-0.536278247833252,-1.0515162944793701,1.0,14,14,14
3417,-0.5274195671081543,-1.0616309642791748,1.0,2,2,2
3517,-0.5196539759635925,-1.0698859691619873,1.0,0,0,0
3618,-0.5040602087974548,-1.0850117206573486,1.0,2,2,2
3718,-0.49114710092544556,-1.0966355800628662,1.0,9,9,9
3819,-0.4679976999759674,-1.1156597137451172,1.0,27,27,27
3919,-0.449637234210968,-1.129307746887207,1.0,44,44,44
4020,-0.417834609746933,-1.1507055759429932,1.0,78,78,78
4121,-0.393746554851532,-1.1650447845458984,1.0,106,106,106
4221,-0.35326480865478516,-1.186183214187622,1.0,155,155,155
4321,-0.3232067823410034,-1.199549674987793,1.0,194,194,194
4422,-0.2737674117088318,-1.217752456665039,1.0,255,255,255
4523,-0.23802684247493744,-1.2282445430755615,1.0,255,255,255
4624,-0.18034999072551727,-1.2405874729156494,1.0,255,255,255
4725,-0.1396227777004242,-1.2461142539978027,1.0,215,215,215
4825,-0.07561065256595612,-1.2496662139892578,1.0,155,155,155
4925,-0.03254665434360504,-1.248568058013916,1.0,121,121,121
5026,0.03555585443973541,-1.2410986423492432,1.0,78,78,78
5126,0.0804118812084198,-1.2322261333465576,1.0,55,55,55
5228,0.14791981875896454,-1.2126579284667969,1.0,27,27,27
5328,0.1920836865901947,-1.1955678462982178,1.0,14,14,14
5429,0.25725793838500977,-1.163388729095459,1.0,2,2,2
5529,0.2984725534915924,-1.1381616592407227,1.0,0,0,0
5629,0.35638582706451416,-1.0951709747314453,1.0,2,2,2
5730,0.3926336169242859,-1.0631041526794434,1.0,9,9,9
5830,0.4422094225883484,-1.010390281677246,1.0,27,27,27
5931,0.4717099666595459,-0.9728905558586121,1.0,44,44,44
6031,0.510623037815094,-0.9138595461845398,1.0,78,78,78
6132,0.5428470373153687,-0.8726701140403748,1.0,106,106,106
6233,0.5609030723571777,-0.8087819814682007,1.0,155,155,155
6333,0.5755589008331299,-0.7656344175338745,1.0,194,194,194
6434,0.592115044593811,-0.700768768787384,1.0,255,255,255
6535,0.5995669960975647,-0.6580485701560974,1.0,255,255,255
6636,0.6054141521453857,-0.5938928723335266,1.0,255,255,255
6736,0.6056981682777405,-0.5319579243659973,1.0,194,194,194
6837,0.6029918193817139,-0.4907918870449066,1.0,155,155,155
6937,0.5948318243026733,-0.4323902130126953,1.0,106,106,106
7038,0.5867558717727661,-0.3947072923183441,1.0,78,78,78
7138,0.571330189704895,-0.339692085981369,1.0,44,44,44
7239,0.5593288540840149,-0.30544495582580566,1.0,27,27,27
7339,0.5385920405387878,-0.2565547227859497,1.0,9,9,9
7440,0.5235012769699097,-0.22607743740081787,1.0,2,2,2
7540,0.4991595149040222,-0.18351736664772034,1.0,0,0,0
7640,0.48140251636505127,-0.15635845065116882,1.0,2,2,2
7741,0.45388472080230713,-0.11855748295783997,1.0,14,14,14
7841,0.435433030128479,-0.09574693441390991,1.0,27,27,27
7942,0.40657827258110046,-0.06358060240745544,1.0,55,55,55
8042,0.3868497610092163,-0.04352283477783203,1.0,78,78,78
8142,0.3572971224784851,-0.016283750534057617,1.0,120,120,120
8243,0.33600980043411255,0.0017696619033813477,1.0,155,155,155
8343,0.3031172752380371,0.02705681324005127,1.0,215,215,215
8443,0.2797088325023651,0.04349708557128906,1.0,255,255,255
8544,0.24207845330238342,0.06727516651153564,1.0,255,255,255
8645,0.21619458496570587,0.08197009563446045,1.0,255,255,255
8746,0.1760789006948471,0.10214698314666748,1.0,194,194,194
8846,0.14795143902301788,0.11465054750442505,1.0,156,156,156
