INFO: 15-07-2022 15:45:53 __init__(128) -- This is dronelog running on Drogno_0
INFO: 15-07-2022 15:45:54 printStatus(164) -- Started
INFO: 15-07-2022 15:46:40 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.92 0.92 0.01	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -23.19 4.37 -0.71	yaw: -1.03	msg/s 0.0
INFO: 15-07-2022 15:46:41 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 1.235 1.235 0.011	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -30.05 5.69 -0.89	yaw: -0.72	msg/s 0.0
INFO: 15-07-2022 15:46:42 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 1.541 1.54 0.013	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -36.41 6.95 -1.06	yaw: -1.27	msg/s 0.0
INFO: 15-07-2022 15:46:44 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 1.921 1.92 0.015	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -44.00 8.48 -1.26	yaw: -1.12	msg/s 0.0
INFO: 15-07-2022 15:46:45 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 2.357 2.355 0.016	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -52.31 10.21 -1.47	yaw: -0.99	msg/s 0.0
INFO: 15-07-2022 15:46:46 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 2.896 2.896 0.016	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -62.12 12.34 -1.71	yaw: -0.86	msg/s 0.0
INFO: 15-07-2022 15:46:47 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 3.447 3.445 0.017	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -71.69 14.50 -1.95	yaw: -0.77	msg/s 0.0
INFO: 15-07-2022 15:46:48 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 4.121 4.121 0.019	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -82.94 17.14 -2.24	yaw: -0.68	msg/s 0.0
INFO: 15-07-2022 15:46:49 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.003 0.003 0.001	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -0.06 0.03 -0.00	yaw: 0.01	msg/s 0.0
INFO: 15-07-2022 15:46:50 printStatus(168) -- Drogno_0: BAD kalman	battery: 4.13	kalman var: 0.03 0.03 0.002	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -0.72 0.37 -0.02	yaw: 0.02	msg/s 0.0
INFO: 15-07-2022 15:46:52 printStatus(168) -- Drogno_0: BAD kalman	battery: 4.13	kalman var: 0.084 0.084 0.003	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -1.97 0.99 -0.06	yaw: 0.02	msg/s 0.0
INFO: 15-07-2022 15:46:53 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.169 0.169 0.004	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -3.83 1.91 -0.12	yaw: 0.01	msg/s 0.0
INFO: 15-07-2022 15:46:54 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.297 0.297 0.005	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -6.52 3.23 -0.21	yaw: 0.03	msg/s 0.0
INFO: 15-07-2022 15:46:55 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.453 0.453 0.007	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -9.66 4.75 -0.31	yaw: 0.04	msg/s 0.0
INFO: 15-07-2022 15:46:56 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.668 0.668 0.008	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -13.77 6.74 -0.44	yaw: 0.03	msg/s 0.0
INFO: 15-07-2022 15:46:57 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.906 0.906 0.009	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -18.12 8.84 -0.57	yaw: 0.04	msg/s 0.0
INFO: 15-07-2022 15:46:58 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 1.19 1.19 0.01	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -23.14 11.23 -0.73	yaw: 0.04	msg/s 0.0
INFO: 15-07-2022 15:47:00 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 1.555 1.555 0.012	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -29.30 14.16 -0.92	yaw: 0.05	msg/s 0.0
INFO: 15-07-2022 15:47:01 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 1.903 1.903 0.013	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -34.97 16.86 -1.10	yaw: 0.06	msg/s 0.0
INFO: 15-07-2022 15:47:02 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 2.375 2.375 0.014	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -42.41 20.36 -1.33	yaw: 0.05	msg/s 0.0
INFO: 15-07-2022 15:47:03 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 2.965 2.965 0.015	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -51.31 24.56 -1.61	yaw: 0.03	msg/s 0.0
INFO: 15-07-2022 15:47:04 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 3.475 3.475 0.016	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -58.75 28.03 -1.84	yaw: 0.04	msg/s 0.0
INFO: 15-07-2022 15:47:05 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 4.086 4.086 0.018	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -67.44 32.09 -2.11	yaw: 0.06	msg/s 0.0
INFO: 15-07-2022 15:47:06 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 4.836 4.836 0.019	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -77.62 36.84 -2.43	yaw: 0.06	msg/s 0.0
INFO: 15-07-2022 15:47:08 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 5.59 5.59 0.02	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -87.69 41.50 -2.75	yaw: 0.06	msg/s 0.0
INFO: 15-07-2022 15:47:09 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 6.406 6.406 0.021	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -98.19 46.34 -3.08	yaw: 0.06	msg/s 0.0
INFO: 15-07-2022 15:47:10 printStatus(168) -- Drogno_0: BAD kalman	battery: 4.13	kalman var: 0.011 0.011 0.001	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -0.25 0.13 -0.01	yaw: 0.01	msg/s 0.0
INFO: 15-07-2022 15:47:11 printStatus(168) -- Drogno_0: BAD kalman	battery: 4.13	kalman var: 0.043 0.043 0.002	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -1.01 0.52 -0.03	yaw: 0.02	msg/s 0.0
INFO: 15-07-2022 15:47:12 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.111 0.111 0.004	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -2.55 1.30 -0.08	yaw: 0.02	msg/s 0.0
INFO: 15-07-2022 15:47:13 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.208 0.208 0.005	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -4.61 2.34 -0.14	yaw: 0.02	msg/s 0.0
INFO: 15-07-2022 15:47:14 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.324 0.324 0.006	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -7.00 3.54 -0.22	yaw: 0.26	msg/s 0.0
INFO: 15-07-2022 15:47:15 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.52 0.52 0.007	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -10.84 5.43 -0.33	yaw: -0.04	msg/s 0.0
INFO: 15-07-2022 15:47:16 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.73 0.73 0.008	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -14.76 7.35 -0.46	yaw: -0.03	msg/s 0.0
INFO: 15-07-2022 15:47:18 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 1.008 1.008 0.01	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -19.73 9.77 -0.61	yaw: -0.03	msg/s 0.0
INFO: 15-07-2022 15:47:19 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 1.307 1.307 0.011	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -24.88 12.26 -0.77	yaw: -0.01	msg/s 0.0
INFO: 15-07-2022 15:47:20 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 1.655 1.655 0.012	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -30.67 15.03 -0.96	yaw: -0.01	msg/s 0.0
INFO: 15-07-2022 15:47:21 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 2.057 2.057 0.013	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -37.09 18.08 -1.16	yaw: 0.01	msg/s 0.0
INFO: 15-07-2022 15:47:22 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 2.504 2.506 0.015	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -44.03 21.36 -1.37	yaw: 0.03	msg/s 0.0
INFO: 15-07-2022 15:47:23 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 3.014 3.014 0.016	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -51.69 24.92 -1.62	yaw: 0.03	msg/s 0.0
INFO: 15-07-2022 15:47:24 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 3.639 3.639 0.017	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -60.72 29.11 -1.91	yaw: -0.13	msg/s 0.0
INFO: 15-07-2022 15:47:25 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 4.27 4.27 0.018	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -69.62 33.12 -2.19	yaw: -0.15	msg/s 0.0
INFO: 15-07-2022 15:47:27 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 4.969 4.969 0.019	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -79.25 37.44 -2.50	yaw: -0.12	msg/s 0.0
INFO: 15-07-2022 15:47:28 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 5.664 5.664 0.02	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -88.50 41.53 -2.79	yaw: -0.11	msg/s 0.0
INFO: 15-07-2022 15:47:29 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 6.262 6.262 0.021	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -96.38 44.94 -3.05	yaw: -0.10	msg/s 0.0
INFO: 15-07-2022 15:47:30 printStatus(168) -- Drogno_0: BAD kalman	battery: 4.13	kalman var: 0.025 0.025 0.002	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -0.69 0.22 -0.02	yaw: 0.01	msg/s 0.0
INFO: 15-07-2022 15:47:31 printStatus(168) -- Drogno_0: BAD kalman	battery: 4.13	kalman var: 0.076 0.076 0.003	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -2.00 0.65 -0.06	yaw: 0.02	msg/s 0.0
INFO: 15-07-2022 15:47:32 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.156 0.156 0.004	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -3.98 1.28 -0.12	yaw: 0.05	msg/s 0.0
INFO: 15-07-2022 15:47:33 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.268 0.268 0.005	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -6.62 2.12 -0.20	yaw: 0.04	msg/s 0.0
INFO: 15-07-2022 15:47:34 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.416 0.416 0.006	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -9.97 3.17 -0.30	yaw: 0.04	msg/s 0.0
INFO: 15-07-2022 15:47:36 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.603 0.603 0.008	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -14.01 4.41 -0.43	yaw: 0.04	msg/s 0.0
INFO: 15-07-2022 15:47:37 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.873 0.873 0.009	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -19.62 6.11 -0.60	yaw: 0.04	msg/s 0.0
INFO: 15-07-2022 15:47:38 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 1.151 1.151 0.01	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -25.19 7.75 -0.78	yaw: 0.04	msg/s 0.0
INFO: 15-07-2022 15:47:39 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 1.477 1.477 0.011	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -31.44 9.56 -0.98	yaw: 0.04	msg/s 0.0
INFO: 15-07-2022 15:47:40 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 1.885 1.885 0.012	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -39.00 11.72 -1.22	yaw: 0.05	msg/s 0.0
INFO: 15-07-2022 15:47:41 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 2.357 2.357 0.014	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -47.47 14.09 -1.50	yaw: 0.06	msg/s 0.0
INFO: 15-07-2022 15:47:42 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 2.85 2.85 0.015	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -55.97 16.44 -1.78	yaw: 0.06	msg/s 0.0
INFO: 15-07-2022 15:47:44 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 3.395 3.395 0.016	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -65.12 18.92 -2.08	yaw: 0.07	msg/s 0.0
INFO: 15-07-2022 15:47:45 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 4.004 4.004 0.017	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -75.00 21.59 -2.41	yaw: 0.05	msg/s 0.0
INFO: 15-07-2022 15:47:46 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 4.676 4.676 0.018	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -85.62 24.41 -2.76	yaw: 0.05	msg/s 0.0
INFO: 15-07-2022 15:47:47 printStatus(168) -- Drogno_0: BAD kalman	battery: 4.13	kalman var: 0.013 0.013 0.001	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -0.37 0.10 -0.01	yaw: 0.00	msg/s 0.0
INFO: 15-07-2022 15:47:48 printStatus(168) -- Drogno_0: BAD kalman	battery: 4.13	kalman var: 0.052 0.052 0.002	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -1.46 0.38 -0.05	yaw: 0.01	msg/s 0.0
INFO: 15-07-2022 15:47:49 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.12 0.12 0.004	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -3.25 0.84 -0.10	yaw: 0.01	msg/s 0.0
INFO: 15-07-2022 15:47:50 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.23 0.23 0.005	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -6.00 1.53 -0.19	yaw: 0.00	msg/s 0.0
INFO: 15-07-2022 15:47:51 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.367 0.367 0.006	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -9.28 2.34 -0.29	yaw: 0.01	msg/s 0.0
INFO: 15-07-2022 15:47:53 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.541 0.541 0.007	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -13.28 3.33 -0.42	yaw: 0.02	msg/s 0.0
INFO: 15-07-2022 15:47:54 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.777 0.777 0.008	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -18.47 4.59 -0.58	yaw: 0.03	msg/s 0.0
INFO: 15-07-2022 15:47:55 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 1.036 1.036 0.01	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -23.91 5.91 -0.75	yaw: 0.03	msg/s 0.0
INFO: 15-07-2022 15:47:56 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 1.312 1.312 0.011	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -29.53 7.25 -0.92	yaw: 0.03	msg/s 0.0
INFO: 15-07-2022 15:47:57 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 1.697 1.697 0.012	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -37.06 9.04 -1.15	yaw: 0.03	msg/s 0.0
INFO: 15-07-2022 15:47:58 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 2.1 2.1 0.013	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -44.66 10.83 -1.39	yaw: 0.02	msg/s 0.0
INFO: 15-07-2022 15:47:59 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 2.559 2.559 0.014	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -53.00 12.80 -1.65	yaw: 0.03	msg/s 0.0
INFO: 15-07-2022 15:48:00 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 3.125 3.125 0.016	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -62.94 15.12 -1.97	yaw: 0.02	msg/s 0.0
INFO: 15-07-2022 15:48:02 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 3.701 3.701 0.017	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -72.69 17.41 -2.28	yaw: 0.02	msg/s 0.0
INFO: 15-07-2022 15:48:03 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 4.406 4.406 0.018	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -84.25 20.09 -2.65	yaw: 0.03	msg/s 0.0
INFO: 15-07-2022 15:48:04 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.009 0.009 0.001	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -0.26 0.07 -0.01	yaw: 0.02	msg/s 0.0
INFO: 15-07-2022 15:48:05 printStatus(168) -- Drogno_0: BAD kalman	battery: 4.13	kalman var: 0.048 0.048 0.002	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -1.35 0.34 -0.04	yaw: 0.02	msg/s 0.0
INFO: 15-07-2022 15:48:06 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.113 0.113 0.004	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -3.10 0.78 -0.09	yaw: 0.02	msg/s 0.0
