INFO: 01-08-2022 16:48:30 __init__(126) -- This is dronelog running on Drogno_3
INFO: 01-08-2022 16:48:31 printStatus(162) -- Started
INFO: 01-08-2022 16:49:06 printStatus(167) -- Drogno_3: ready	battery: 3.88	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 41	flight time: 10s	pos -0.02 -0.01 -0.08	yaw: 48.78	msg/s 0.0
INFO: 01-08-2022 16:49:07 printStatus(167) -- Drogno_3: ready	battery: 3.88	kalman var: 0.001 0.001 0.001	 batterySag: 0.66	link quality: 41	flight time: 12s	pos -0.02 -0.00 0.00	yaw: 47.47	msg/s 0.0
INFO: 01-08-2022 16:49:08 printStatus(167) -- Drogno_3: ready	battery: 3.89	kalman var: 0.001 0.001 0.001	 batterySag: 0.66	link quality: 42	flight time: 13s	pos 0.00 -0.00 -0.01	yaw: 48.44	msg/s 0.0
INFO: 01-08-2022 16:49:09 printStatus(167) -- Drogno_3: ready	battery: 3.9	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.22	msg/s 0.0
INFO: 01-08-2022 16:49:10 printStatus(167) -- Drogno_3: ready	battery: 3.9	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.81	msg/s 0.0
INFO: 01-08-2022 16:49:12 printStatus(167) -- Drogno_3: ready	battery: 3.9	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 41	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.47	msg/s 0.0
INFO: 01-08-2022 16:49:13 printStatus(167) -- Drogno_3: ready	battery: 3.91	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 41	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.38	msg/s 0.0
INFO: 01-08-2022 16:49:14 printStatus(167) -- Drogno_3: ready	battery: 3.91	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.00	msg/s 0.0
INFO: 01-08-2022 16:49:15 printStatus(167) -- Drogno_3: ready	battery: 3.91	kalman var: 0.0 0.0 0.001	 batterySag: 0.66	link quality: 65	flight time: 13s	pos 0.00 -0.00 -0.00	yaw: 48.72	msg/s 0.0
INFO: 01-08-2022 16:49:16 printStatus(167) -- Drogno_3: ready	battery: 3.91	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.34	msg/s 0.0
INFO: 01-08-2022 16:49:17 printStatus(167) -- Drogno_3: ready	battery: 3.91	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 41	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.09	msg/s 0.0
INFO: 01-08-2022 16:49:18 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 44	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.62	msg/s 0.0
INFO: 01-08-2022 16:49:19 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.001	 batterySag: 0.66	link quality: 40	flight time: 13s	pos 0.00 -0.00 -0.00	yaw: 47.62	msg/s 0.0
INFO: 01-08-2022 16:49:20 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.001	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.38	msg/s 0.0
INFO: 01-08-2022 16:49:22 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 41	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.81	msg/s 0.0
INFO: 01-08-2022 16:49:23 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.44	msg/s 0.0
INFO: 01-08-2022 16:49:24 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 41	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.91	msg/s 0.0
INFO: 01-08-2022 16:49:25 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 41	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.25	msg/s 0.0
INFO: 01-08-2022 16:49:26 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 41	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.06	msg/s 0.0
INFO: 01-08-2022 16:49:27 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 41	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.06	msg/s 0.0
INFO: 01-08-2022 16:49:28 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.001 0.001 0.001	 batterySag: 0.66	link quality: 41	flight time: 13s	pos 0.00 -0.00 -0.00	yaw: 47.88	msg/s 0.0
INFO: 01-08-2022 16:49:29 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.001 0.001 0.001	 batterySag: 0.66	link quality: 41	flight time: 13s	pos 0.00 0.00 -0.00	yaw: 46.34	msg/s 0.0
INFO: 01-08-2022 16:49:30 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 41	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.41	msg/s 0.0
INFO: 01-08-2022 16:49:31 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.19	msg/s 0.0
INFO: 01-08-2022 16:49:33 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 41	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.88	msg/s 0.0
INFO: 01-08-2022 16:49:34 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 41	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.69	msg/s 0.0
INFO: 01-08-2022 16:49:35 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 41	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.38	msg/s 0.0
INFO: 01-08-2022 16:49:36 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.001 0.001 0.001	 batterySag: 0.66	link quality: 41	flight time: 13s	pos 0.00 0.00 -0.00	yaw: 47.22	msg/s 0.0
INFO: 01-08-2022 16:49:37 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.001 0.001 0.001	 batterySag: 0.66	link quality: 41	flight time: 13s	pos 0.00 -0.00 -0.00	yaw: 47.47	msg/s 0.0
INFO: 01-08-2022 16:49:38 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.00	msg/s 0.0
INFO: 01-08-2022 16:49:39 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 41	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.22	msg/s 0.0
INFO: 01-08-2022 16:49:40 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.09	msg/s 0.0
INFO: 01-08-2022 16:49:41 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.44	msg/s 0.0
INFO: 01-08-2022 16:49:43 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.06	msg/s 0.0
INFO: 01-08-2022 16:49:44 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.06	msg/s 0.0
