Time,x,y,z,Red,Green,Blue
102,1.613,0.526,1.36,0,0,0
203,1.612,0.526,1.36,0,0,0
304,1.612,0.527,1.36,0,0,0
404,1.611,0.527,1.36,0,0,0
505,1.61,0.527,1.36,0,0,0
606,1.608,0.527,1.36,0,0,0
708,1.607,0.528,1.36,0,0,0
809,1.606,0.528,1.36,0,0,0
910,1.605,0.528,1.36,0,0,0
1011,1.603,0.529,1.36,0,0,0
1112,1.602,0.529,1.36,0,0,0
1214,1.6,0.529,1.36,0,0,0
1315,1.598,0.53,1.36,0,0,0
1416,1.597,0.53,1.36,0,0,0
1517,1.597,0.53,1.36,0,0,0
1619,1.595,0.53,1.36,0,0,0
1720,1.593,0.531,1.36,0,0,0
1821,1.591,0.531,1.36,0,0,0
1923,1.589,0.531,1.36,0,0,0
2024,1.587,0.532,1.36,0,0,0
2124,1.584,0.532,1.36,0,0,0
2225,1.582,0.533,1.36,0,0,0
2326,1.58,0.533,1.36,0,0,0
2427,1.577,0.533,1.36,0,0,0
2528,1.575,0.534,1.36,0,0,0
2629,1.573,0.534,1.36,0,0,0
2731,1.57,0.535,1.36,0,0,0
2832,1.562,0.536,1.36,0,0,0
2933,1.556,0.537,1.36,0,0,0
3034,1.547,0.538,1.36,0,0,0
3136,1.541,0.539,1.36,0,0,0
3237,1.531,0.541,1.36,0,0,0
3338,1.524,0.542,1.36,0,0,0
3439,1.514,0.543,1.36,0,0,0
3540,1.503,0.545,1.36,0,0,0
3647,1.495,0.546,1.36,0,0,0
3748,1.484,0.548,1.36,0,0,0
3849,1.476,0.549,1.36,0,0,0
3950,1.464,0.551,1.36,0,0,0
4050,1.456,0.552,1.36,0,0,0
4151,1.443,0.554,1.36,0,0,0
4253,1.435,0.556,1.36,0,0,0
4359,1.422,0.558,1.36,0,0,0
4460,1.408,0.559,1.36,0,0,0
4562,1.399,0.562,1.36,0,0,0
4663,1.384,0.563,1.36,0,0,0
4769,1.375,0.565,1.36,0,0,0
4870,1.36,0.568,1.36,0,0,0
4972,1.35,0.57,1.36,0,0,0
5073,1.336,0.572,1.36,0,0,0
5174,1.326,0.574,1.36,0,0,0
5276,1.31,0.576,1.36,0,0,0
5378,1.299,0.578,1.36,0,0,0
5479,1.284,0.581,1.36,0,0,0
5581,1.273,0.583,1.36,0,0,0
5682,1.257,0.586,1.36,0,0,0
5783,1.246,0.588,1.36,0,0,0
5885,1.229,0.591,1.36,0,0,0
5986,1.219,0.593,1.36,0,0,0
6087,1.201,0.597,1.36,0,0,0
6188,1.19,0.599,1.36,0,0,0
6289,1.173,0.602,1.36,0,0,0
6391,1.161,0.605,1.36,0,0,0
6492,1.144,0.608,1.36,0,0,0
6593,1.126,0.611,1.36,0,0,0
6694,1.114,0.614,1.36,0,0,0
6795,1.097,0.618,1.36,0,0,0
6896,1.084,0.621,1.36,0,0,0
6998,1.065,0.625,1.36,0,0,0
7099,1.054,0.628,1.36,0,0,0
7200,1.034,0.632,1.36,0,0,0
7301,1.022,0.635,1.36,0,0,0
7403,1.003,0.639,1.36,0,0,0
7504,0.991,0.642,1.36,0,0,0
7605,0.972,0.647,1.36,0,0,0
7705,0.952,0.65,1.36,0,0,0
7806,0.938,0.655,1.36,0,0,0
7907,0.916,0.658,1.36,0,0,0
8008,0.9,0.663,1.36,0,0,0
8110,0.874,0.666,1.36,0,0,0
8211,0.855,0.671,1.359,0,0,0
8317,0.826,0.677,1.359,0,0,0
8418,0.806,0.68,1.359,0,0,0
8519,0.774,0.686,1.358,0,0,0
8625,0.753,0.69,1.357,0,0,0
8726,0.719,0.696,1.356,0,0,0
8827,0.695,0.7,1.355,0,0,0
8928,0.659,0.706,1.353,0,0,0
9029,0.635,0.71,1.351,0,0,0
9130,0.598,0.717,1.348,0,0,0
9232,0.558,0.721,1.345,0,0,0
9333,0.533,0.728,1.343,0,0,0
9435,0.492,0.734,1.338,0,0,0
9536,0.465,0.739,1.335,0,0,0
9637,0.424,0.746,1.33,0,0,0
9739,0.396,0.751,1.325,0,0,0
9840,0.354,0.759,1.319,0,0,0
9941,0.325,0.764,1.314,0,0,0
10042,0.282,0.772,1.306,0,0,0
10143,0.254,0.777,1.3,0,0,0
10244,0.21,0.785,1.291,0,0,0
10350,0.167,0.794,1.281,0,0,0
10451,0.137,0.8,1.273,0,0,0
10552,0.093,0.808,1.261,0,0,0
10654,0.064,0.814,1.253,0,0,0
10756,0.02,0.824,1.24,0,0,0
10857,-0.009,0.83,1.23,0,0,0
10958,-0.053,0.84,1.215,0,0,0
11059,-0.097,0.846,1.204,0,0,0
11161,-0.126,0.857,1.189,0,0,0
11262,-0.17,0.867,1.171,0,0,0
11363,-0.198,0.875,1.159,0,0,0
11464,-0.241,0.885,1.14,0,0,0
11565,-0.268,0.893,1.127,0,0,0
11666,-0.31,0.901,1.113,0,0,0
11768,-0.337,0.913,1.092,0,0,0
11869,-0.378,0.922,1.07,0,0,0
11970,-0.404,0.927,1.055,0,0,0
12071,-0.444,0.93,1.032,0,0,0
12172,-0.469,0.929,1.016,0,0,0
12274,-0.507,0.926,0.991,0,0,0
12375,-0.532,0.921,0.975,0,0,0
12477,-0.567,0.919,0.95,0,0,0
12578,-0.591,0.916,0.933,0,0,0
12680,-0.625,0.918,0.915,0,0,0
12781,-0.647,0.929,0.887,0,0,0
12882,-0.679,0.951,0.859,0,0,0
12984,-0.7,0.972,0.84,0,0,0
13085,-0.729,1.014,0.812,0,0,0
13186,-0.748,1.047,0.792,0,0,0
13287,-0.774,1.105,0.763,0,0,0
13388,-0.79,1.146,0.745,0,0,0
13489,-0.813,1.21,0.715,0,0,0
13590,-0.826,1.251,0.694,0,0,0
13691,-0.842,1.308,0.664,0,0,0
13792,-0.848,1.34,0.645,0,0,0
13893,-0.852,1.379,0.614,0,0,0
13994,-0.855,1.398,0.595,0,0,0
14095,-0.858,1.416,0.563,0,0,0
14196,-0.859,1.419,0.544,0,0,0
14297,-0.86,1.411,0.513,0,0,0
14398,-0.86,1.395,0.493,0,0,0
14504,-0.859,1.359,0.462,0,0,0
14606,-0.857,1.308,0.432,0,0,0
14707,-0.856,1.267,0.413,0,0,0
14809,-0.852,1.196,0.382,0,0,0
14911,-0.849,1.146,0.362,0,0,0
15012,-0.844,1.067,0.334,0,0,0
15114,-0.837,0.989,0.303,0,0,0
15215,-0.832,0.939,0.284,0,0,0
15316,-0.825,0.872,0.256,0,0,0
15417,-0.819,0.833,0.238,0,0,0
15519,-0.81,0.787,0.21,0,0,0
15620,-0.803,0.766,0.193,0,0,0
15721,-0.792,0.749,0.166,0,0,0
15822,-0.785,0.749,0.148,0,0,0
15923,-0.773,0.765,0.123,0,0,0
16024,-0.764,0.786,0.106,0,0,0
16125,-0.751,0.833,0.081,0,0,0
16226,-0.742,0.873,0.065,0,0,0
16327,-0.727,0.944,0.041,0,0,0
16429,-0.712,0.997,0.026,0,0,0
16530,-0.702,1.082,0.003,0,0,0
16631,-0.686,1.14,-0.012,0,0,0
16732,-0.675,1.227,-0.032,0,0,0
16834,-0.659,1.283,-0.053,0,0,0
16939,-0.647,1.359,-0.066,0,0,0
17041,-0.63,1.422,-0.086,0,0,0
17142,-0.618,1.457,-0.098,0,0,0
17243,-0.6,1.493,-0.116,0,0,0
17344,-0.588,1.507,-0.127,0,0,0
17445,-0.57,1.511,-0.144,0,0,0
17546,-0.557,1.502,-0.155,0,0,0
17647,-0.539,1.474,-0.17,0,0,0
17748,-0.52,1.444,-0.18,0,0,0
17849,-0.507,1.388,-0.195,0,0,0
17950,-0.488,1.342,-0.208,0,0,0
18051,-0.475,1.267,-0.217,0,0,0
18157,-0.456,1.185,-0.229,0,0,0
18258,-0.443,1.129,-0.237,0,0,0
18359,-0.424,1.047,-0.248,0,0,0
18461,-0.411,0.996,-0.255,0,0,0
18562,-0.392,0.926,-0.266,0,0,0
18663,-0.38,0.886,-0.271,0,0,0
18763,-0.361,0.838,-0.281,0,0,0
18864,-0.343,0.815,-0.289,0,0,0
18965,-0.331,0.795,-0.294,0,0,0
19067,-0.312,0.792,-0.301,0,0,0
19167,-0.301,0.802,-0.306,0,0,0
19268,-0.283,0.828,-0.312,0,0,0
19369,-0.271,0.853,-0.316,0,0,0
19470,-0.254,0.902,-0.321,0,0,0
19571,-0.243,0.939,-0.325,0,0,0
19672,-0.227,1.001,-0.329,0,0,0
19773,-0.216,1.044,-0.332,0,0,0
19875,-0.2,1.108,-0.336,0,0,0
19976,-0.19,1.149,-0.339,0,0,0
20077,-0.175,1.206,-0.342,0,0,0
20178,-0.165,1.239,-0.344,0,0,0
20280,-0.151,1.279,-0.347,0,0,0
20381,-0.142,1.3,-0.348,0,0,0
20481,-0.129,1.32,-0.35,0,0,0
20582,-0.12,1.326,-0.352,0,0,0
20683,-0.108,1.325,-0.353,0,0,0
20784,-0.1,1.318,-0.354,0,0,0
20885,-0.089,1.299,-0.355,0,0,0
20987,-0.081,1.282,-0.356,0,0,0
21088,-0.071,1.252,-0.357,0,0,0
21189,-0.061,1.219,-0.358,0,0,0
21290,-0.055,1.196,-0.358,0,0,0
21391,-0.047,1.164,-0.359,0,0,0
21493,-0.041,1.145,-0.359,0,0,0
21594,-0.034,1.121,-0.359,0,0,0
21695,-0.03,1.109,-0.359,0,0,0
21796,-0.023,1.1,-0.36,0,0,0
21897,-0.017,1.092,-0.36,0,0,0
21998,-0.014,1.091,-0.36,0,0,0
22100,-0.01,1.095,-0.36,0,0,0
22201,-0.007,1.099,-0.36,0,0,0
22302,-0.004,1.108,-0.36,0,0,0
22404,-0.003,1.113,-0.36,0,0,0
22505,-0.001,1.12,-0.36,0,0,0
22607,-0.0,1.123,-0.36,0,0,0
22708,-0.0,1.125,-0.36,0,0,0
22809,-0.0,1.125,-0.36,0,0,0
22910,-0.0,1.125,-0.36,0,0,0
23012,-0.0,1.125,-0.36,0,0,0
23113,-0.0,1.125,-0.36,0,0,0
23213,-0.0,1.125,-0.36,0,0,0
23314,-0.0,1.125,-0.36,0,0,0
23416,-0.0,1.125,-0.36,0,0,0
23517,-0.0,1.125,-0.36,0,0,0
23618,-0.0,1.125,-0.36,0,0,0
23719,-0.0,1.125,-0.36,0,0,0
23820,-0.0,1.125,-0.36,0,0,0
23921,-0.0,1.125,-0.36,0,0,0
24022,-0.0,1.125,-0.36,0,0,0
24123,-0.0,1.125,-0.36,0,0,0
24224,-0.0,1.125,-0.36,0,0,0
24325,-0.0,1.125,-0.36,0,0,0
24426,-0.0,1.125,-0.36,0,0,0
24527,-0.0,1.125,-0.36,0,0,0
24629,-0.0,1.125,-0.36,0,0,0
24735,-0.0,1.125,-0.36,0,0,0
24836,-0.0,1.125,-0.36,0,0,0
24937,-0.0,1.125,-0.36,0,0,0
25038,-0.0,1.125,-0.36,0,0,0
25140,-0.0,1.125,-0.36,0,0,0
25241,-0.0,1.125,-0.36,0,0,0
25342,-0.0,1.125,-0.36,0,0,0
25443,-0.0,1.125,-0.36,0,0,0
25545,-0.0,1.125,-0.36,0,0,0
25646,-0.0,1.125,-0.36,0,0,0
25747,-0.0,1.125,-0.36,0,0,0
25848,-0.0,1.125,-0.36,0,0,0
25949,-0.0,1.125,-0.36,0,0,0
26050,-0.0,1.125,-0.36,0,0,0
26151,-0.0,1.125,-0.36,0,0,0
26253,-0.0,1.125,-0.36,0,0,0
26354,-0.0,1.125,-0.36,0,0,0
26455,-0.0,1.125,-0.36,0,0,0
26556,-0.0,1.125,-0.36,0,0,0
26657,-0.0,1.125,-0.36,0,0,0
26758,-0.0,1.125,-0.36,0,0,0
26859,-0.0,1.125,-0.36,0,0,0
26960,-0.0,1.125,-0.36,0,0,0
27062,-0.0,1.125,-0.36,0,0,0
27162,-0.0,1.125,-0.36,0,0,0
27264,-0.0,1.125,-0.36,0,0,0
27365,-0.0,1.125,-0.36,0,0,0
27466,-0.0,1.125,-0.36,0,0,0
27567,-0.0,1.125,-0.36,0,0,0
27668,-0.0,1.125,-0.36,0,0,0
27770,-0.0,1.125,-0.36,0,0,0
27871,-0.0,1.125,-0.36,0,0,0
27972,-0.0,1.125,-0.36,0,0,0
28073,-0.0,1.125,-0.36,0,0,0
28175,-0.0,1.125,-0.36,0,0,0
28276,-0.0,1.125,-0.36,0,0,0
28377,-0.0,1.125,-0.36,0,0,0
28478,-0.0,1.125,-0.36,0,0,0
28579,-0.0,1.125,-0.36,0,0,0
28680,-0.0,1.125,-0.36,0,0,0
28781,-0.0,1.125,-0.36,0,0,0
28882,-0.0,1.125,-0.36,0,0,0
28983,-0.0,1.125,-0.36,0,0,0
29084,-0.0,1.125,-0.36,0,0,0
29185,-0.0,1.125,-0.36,0,0,0
29286,-0.0,1.125,-0.36,0,0,0
29387,-0.0,1.125,-0.36,0,0,0
29488,-0.0,1.125,-0.36,0,0,0
29589,-0.0,1.125,-0.36,0,0,0
29690,-0.0,1.125,-0.36,0,0,0
29792,-0.0,1.125,-0.36,0,0,0
29893,-0.0,1.125,-0.36,0,0,0
29994,-0.0,1.125,-0.36,0,0,0
30095,-0.0,1.125,-0.36,0,0,0
30202,-0.0,1.125,-0.36,0,0,0
30303,-0.0,1.125,-0.36,0,0,0
30404,-0.0,1.125,-0.36,0,0,0
30505,-0.0,1.125,-0.36,0,0,0
30606,-0.0,1.125,-0.36,0,0,0
30708,-0.0,1.125,-0.36,0,0,0
30809,-0.0,1.125,-0.36,0,0,0
30910,-0.0,1.125,-0.36,0,0,0
31011,-0.0,1.125,-0.36,0,0,0
31112,-0.0,1.125,-0.36,0,0,0
31213,-0.0,1.125,-0.36,0,0,0
31315,-0.0,1.125,-0.36,0,0,0
31416,-0.0,1.125,-0.36,0,0,0
31517,-0.0,1.125,-0.36,0,0,0
31618,-0.0,1.125,-0.36,0,0,0
31719,-0.0,1.125,-0.36,0,0,0
31820,-0.0,1.125,-0.36,0,0,0
31921,-0.0,1.125,-0.36,0,0,0
32022,-0.0,1.125,-0.36,0,0,0
32123,-0.0,1.125,-0.36,0,0,0
32225,-0.0,1.125,-0.36,0,0,0
32326,-0.0,1.125,-0.36,0,0,0
32427,-0.0,1.125,-0.36,0,0,0
32528,-0.0,1.125,-0.36,0,0,0
32629,-0.0,1.125,-0.36,0,0,0
32730,-0.0,1.125,-0.36,0,0,0
32831,-0.0,1.125,-0.36,0,0,0
32933,-0.0,1.125,-0.36,0,0,0
33034,-0.0,1.125,-0.36,0,0,0
33135,-0.0,1.125,-0.36,0,0,0
33236,-0.0,1.125,-0.36,0,0,0
33337,-0.0,1.125,-0.36,0,0,0
33438,-0.0,1.125,-0.36,0,0,0
33539,-0.0,1.125,-0.36,0,0,0
33640,-0.0,1.125,-0.36,0,0,0
33741,-0.0,1.125,-0.36,0,0,0
33842,-0.0,1.125,-0.36,0,0,0
33943,-0.0,1.125,-0.36,0,0,0
34044,-0.0,1.125,-0.36,0,0,0
34144,-0.0,1.125,-0.36,0,0,0
34245,-0.0,1.125,-0.36,0,0,0
34346,-0.0,1.125,-0.36,0,0,0
34447,-0.0,1.125,-0.36,0,0,0
34549,-0.0,1.125,-0.36,0,0,0
34650,-0.0,1.125,-0.36,0,0,0
34751,-0.0,1.125,-0.36,0,0,0
34852,-0.0,1.125,-0.36,0,0,0
34953,-0.0,1.125,-0.36,0,0,0
35054,-0.0,1.125,-0.36,0,0,0
35155,-0.0,1.125,-0.36,0,0,0
35256,-0.0,1.125,-0.36,0,0,0
35357,-0.0,1.125,-0.36,0,0,0
35458,-0.0,1.125,-0.36,0,0,0
35560,-0.0,1.125,-0.36,0,0,0
35661,-0.0,1.125,-0.36,0,0,0
35762,-0.0,1.125,-0.36,0,0,0
35863,-0.0,1.125,-0.36,0,0,0
35964,-0.0,1.125,-0.36,0,0,0
36065,-0.0,1.125,-0.36,0,0,0
36166,-0.0,1.125,-0.36,0,0,0
36267,-0.0,1.125,-0.36,0,0,0
36368,-0.0,1.125,-0.36,0,0,0
36469,-0.0,1.125,-0.36,0,0,0
36571,-0.0,1.125,-0.36,0,0,0
36672,-0.0,1.125,-0.36,0,0,0
36773,-0.0,1.125,-0.36,0,0,0
36874,-0.0,1.125,-0.36,0,0,0
36975,-0.0,1.125,-0.36,0,0,0
37077,-0.0,1.125,-0.36,0,0,0
37177,-0.0,1.125,-0.36,0,0,0
37278,-0.0,1.125,-0.36,0,0,0
37380,-0.0,1.125,-0.36,0,0,0
37481,-0.0,1.125,-0.36,0,0,0
37582,-0.0,1.125,-0.36,0,0,0
37684,-0.0,1.125,-0.36,0,0,0
37785,-0.0,1.125,-0.36,0,0,0
37886,-0.0,1.125,-0.36,0,0,0
37987,-0.0,1.125,-0.36,0,0,0
38088,-0.0,1.125,-0.36,0,0,0
38189,-0.0,1.125,-0.36,0,0,0
38290,-0.0,1.125,-0.36,0,0,0
38391,-0.001,1.125,-0.361,0,0,0
38492,-0.007,1.122,-0.366,0,0,0
38593,-0.016,1.12,-0.371,0,0,0
38695,-0.025,1.115,-0.382,0,0,0
38796,-0.04,1.111,-0.396,0,0,0
38897,-0.052,1.104,-0.407,0,0,0
38998,-0.071,1.099,-0.424,0,0,0
39099,-0.084,1.09,-0.436,0,0,0
39200,-0.106,1.081,-0.456,0,0,0
39301,-0.122,1.075,-0.47,0,0,0
39403,-0.145,1.065,-0.491,0,0,0
39504,-0.161,1.059,-0.506,0,0,0
39604,-0.185,1.049,-0.528,0,0,0
39705,-0.201,1.042,-0.542,0,0,0
39806,-0.225,1.032,-0.564,0,0,0
39907,-0.241,1.026,-0.578,0,0,0
40009,-0.265,1.016,-0.6,0,0,0
40110,-0.288,1.01,-0.614,0,0,0
40211,-0.303,1.0,-0.634,0,0,0
40312,-0.325,0.991,-0.654,0,0,0
40414,-0.339,0.986,-0.667,0,0,0
40519,-0.36,0.98,-0.686,0,0,0
40620,-0.379,0.977,-0.698,0,0,0
40722,-0.392,0.974,-0.715,0,0,0
40828,-0.41,0.974,-0.732,0,0,0
40929,-0.421,0.975,-0.742,0,0,0
41030,-0.438,0.978,-0.757,0,0,0
41131,-0.448,0.981,-0.766,0,0,0
41233,-0.462,0.987,-0.779,0,0,0
41335,-0.471,0.992,-0.787,0,0,0
41436,-0.484,1.001,-0.798,0,0,0
41537,-0.495,1.008,-0.806,0,0,0
41643,-0.502,1.02,-0.815,0,0,0
41744,-0.511,1.032,-0.824,0,0,0
41845,-0.517,1.041,-0.829,0,0,0
41946,-0.525,1.056,-0.836,0,0,0
42047,-0.529,1.065,-0.84,0,0,0
42149,-0.535,1.08,-0.845,0,0,0
42250,-0.538,1.091,-0.848,0,0,0
42351,-0.542,1.106,-0.851,0,0,0
42452,-0.544,1.116,-0.853,0,0,0
42553,-0.546,1.132,-0.855,0,0,0
42654,-0.547,1.141,-0.855,0,0,0
42755,-0.547,1.156,-0.856,0,0,0
42857,-0.547,1.165,-0.855,0,0,0
42957,-0.546,1.178,-0.855,0,0,0
43058,-0.546,1.186,-0.855,0,0,0
43159,-0.545,1.197,-0.854,0,0,0
43261,-0.544,1.204,-0.853,0,0,0
43362,-0.544,1.212,-0.853,0,0,0
43463,-0.543,1.217,-0.852,0,0,0
43565,-0.542,1.222,-0.852,0,0,0
43666,-0.542,1.225,-0.851,0,0,0
43767,-0.541,1.226,-0.85,0,0,0
43868,-0.541,1.226,-0.848,0,0,0
43969,-0.541,1.226,-0.838,0,0,0
44070,-0.543,1.226,-0.819,0,0,0
44171,-0.544,1.226,-0.8,0,0,0
44272,-0.549,1.225,-0.761,0,0,0
44373,-0.552,1.225,-0.728,0,0,0
44474,-0.559,1.225,-0.666,0,0,0
44576,-0.565,1.225,-0.616,0,0,0
44677,-0.575,1.225,-0.533,0,0,0
44778,-0.582,1.225,-0.474,0,0,0
44879,-0.593,1.225,-0.386,0,0,0
44980,-0.599,1.225,-0.332,0,0,0
45081,-0.608,1.224,-0.261,0,0,0
45181,-0.614,1.224,-0.222,0,0,0
45283,-0.617,1.224,-0.175,0,0,0
45383,-0.62,1.224,-0.151,0,0,0
45484,-0.622,1.224,-0.126,0,0,0
45586,-0.623,1.224,-0.111,0,0,0
45686,-0.623,1.224,-0.106,0,0,0
45788,-0.622,1.223,-0.105,0,0,0
45889,-0.621,1.223,-0.109,0,0,0
45990,-0.618,1.223,-0.121,0,0,0
46091,-0.616,1.223,-0.135,0,0,0
46192,-0.611,1.223,-0.164,0,0,0
46293,-0.607,1.223,-0.19,0,0,0
46394,-0.599,1.222,-0.241,0,0,0
46495,-0.593,1.222,-0.282,0,0,0
46596,-0.582,1.222,-0.356,0,0,0
46697,-0.574,1.222,-0.41,0,0,0
46798,-0.562,1.222,-0.496,0,0,0
46899,-0.554,1.222,-0.552,0,0,0
47000,-0.542,1.222,-0.629,0,0,0
47101,-0.536,1.221,-0.673,0,0,0
47203,-0.528,1.221,-0.728,0,0,0
47304,-0.523,1.221,-0.756,0,0,0
47404,-0.518,1.221,-0.788,0,0,0
47505,-0.515,1.221,-0.803,0,0,0
47606,-0.513,1.221,-0.817,0,0,0
47707,-0.511,1.221,-0.822,0,0,0
47808,-0.51,1.22,-0.822,0,0,0
47909,-0.509,1.22,-0.822,0,0,0
48010,-0.509,1.219,-0.82,0,0,0
48111,-0.508,1.219,-0.819,0,0,0
48212,-0.507,1.217,-0.817,0,0,0
48314,-0.506,1.215,-0.815,0,0,0
48415,-0.505,1.212,-0.813,0,0,0
48516,-0.505,1.21,-0.811,0,0,0
48617,-0.504,1.207,-0.807,0,0,0
48719,-0.503,1.203,-0.803,0,0,0
48820,-0.503,1.2,-0.8,0,0,0
48921,-0.502,1.195,-0.796,0,0,0
49022,-0.501,1.192,-0.793,0,0,0
49123,-0.5,1.188,-0.79,0,0,0
49224,-0.5,1.184,-0.788,0,0,0
49325,-0.498,1.18,-0.786,0,0,0
49427,-0.497,1.176,-0.784,0,0,0
49528,-0.496,1.172,-0.783,0,0,0
49629,-0.495,1.168,-0.782,0,0,0
49731,-0.494,1.164,-0.781,0,0,0
49832,-0.493,1.161,-0.78,0,0,0
49933,-0.492,1.157,-0.779,0,0,0
50035,-0.49,1.154,-0.779,0,0,0
50136,-0.489,1.151,-0.779,0,0,0
50237,-0.488,1.148,-0.78,0,0,0
50338,-0.487,1.146,-0.78,0,0,0
50438,-0.485,1.144,-0.781,0,0,0
50540,-0.485,1.143,-0.782,0,0,0
50641,-0.483,1.141,-0.784,0,0,0
50742,-0.482,1.141,-0.786,0,0,0
50843,-0.481,1.141,-0.788,0,0,0
50944,-0.48,1.141,-0.79,0,0,0
51045,-0.479,1.141,-0.792,0,0,0
51146,-0.478,1.141,-0.793,0,0,0
51247,-0.477,1.141,-0.794,0,0,0
51348,-0.476,1.141,-0.794,0,0,0
51450,-0.475,1.141,-0.794,0,0,0
51550,-0.475,1.141,-0.794,0,0,0
51651,-0.474,1.141,-0.794,0,0,0
51752,-0.473,1.141,-0.793,0,0,0
51853,-0.472,1.141,-0.791,0,0,0
51954,-0.472,1.14,-0.782,0,0,0
52055,-0.473,1.14,-0.771,0,0,0
52156,-0.475,1.14,-0.748,0,0,0
52257,-0.477,1.139,-0.726,0,0,0
52359,-0.481,1.139,-0.684,0,0,0
52460,-0.485,1.138,-0.649,0,0,0
52561,-0.492,1.137,-0.586,0,0,0
52662,-0.498,1.136,-0.538,0,0,0
52763,-0.507,1.135,-0.46,0,0,0
52864,-0.513,1.134,-0.409,0,0,0
52965,-0.521,1.132,-0.336,0,0,0
53066,-0.528,1.132,-0.293,0,0,0
53167,-0.532,1.131,-0.239,0,0,0
53268,-0.536,1.13,-0.198,0,0,0
53370,-0.538,1.13,-0.177,0,0,0
53471,-0.54,1.129,-0.155,0,0,0
53573,-0.541,1.129,-0.145,0,0,0
53674,-0.54,1.129,-0.138,0,0,0
53775,-0.54,1.129,-0.137,0,0,0
53876,-0.538,1.129,-0.139,0,0,0
53982,-0.537,1.129,-0.144,0,0,0
54083,-0.535,1.129,-0.153,0,0,0
54185,-0.533,1.129,-0.16,0,0,0
54286,-0.531,1.129,-0.172,0,0,0
54387,-0.529,1.129,-0.18,0,0,0
54488,-0.525,1.13,-0.194,0,0,0
54590,-0.524,1.13,-0.204,0,0,0
54691,-0.52,1.13,-0.22,0,0,0
54793,-0.518,1.13,-0.23,0,0,0
54894,-0.515,1.131,-0.247,0,0,0
54995,-0.513,1.131,-0.258,0,0,0
55097,-0.509,1.131,-0.275,0,0,0
55198,-0.507,1.131,-0.287,0,0,0
55299,-0.504,1.132,-0.304,0,0,0
55401,-0.501,1.132,-0.322,0,0,0
55502,-0.498,1.132,-0.334,0,0,0
55604,-0.495,1.132,-0.352,0,0,0
55705,-0.492,1.133,-0.364,0,0,0
55806,-0.489,1.133,-0.382,0,0,0
55907,-0.486,1.133,-0.395,0,0,0
56009,-0.483,1.133,-0.413,0,0,0
56110,-0.481,1.134,-0.425,0,0,0
56211,-0.477,1.134,-0.443,0,0,0
56313,-0.474,1.134,-0.455,0,0,0
56414,-0.471,1.134,-0.474,0,0,0
56515,-0.468,1.135,-0.492,93,93,93
56616,-0.466,1.135,-0.503,56,56,56
56717,-0.462,1.135,-0.521,36,36,36
56818,-0.46,1.135,-0.533,15,15,15
56920,-0.456,1.136,-0.55,3,6,6
57021,-0.454,1.136,-0.562,0,0,0
57122,-0.451,1.136,-0.578,2,2,1
57223,-0.449,1.136,-0.59,9,9,9
57324,-0.445,1.136,-0.606,19,19,19
57426,-0.443,1.137,-0.617,43,43,43
57527,-0.442,1.137,-0.622,53,53,53
57628,-0.441,1.137,-0.627,64,64,64
57729,-0.44,1.137,-0.632,76,76,76
57830,-0.439,1.137,-0.637,90,90,90
57932,-0.438,1.137,-0.642,104,104,104
58033,-0.437,1.137,-0.647,119,119,119
58134,-0.436,1.137,-0.652,136,136,136
58235,-0.435,1.137,-0.657,153,153,153
58336,-0.434,1.137,-0.662,172,172,172
58438,-0.433,1.138,-0.667,192,172,172
58539,-0.433,1.138,-0.667,192,192,192
58640,-0.43,1.138,-0.68,255,255,255
58741,-0.428,1.138,-0.689,255,255,255
58842,-0.426,1.138,-0.701,255,255,255
58944,-0.424,1.138,-0.709,217,217,217
59045,-0.421,1.138,-0.719,157,157,157
59146,-0.419,1.138,-0.725,123,123,123
59247,-0.418,1.139,-0.733,79,79,79
59349,-0.416,1.139,-0.738,46,56,56
59450,-0.415,1.139,-0.74,28,28,28
59551,-0.414,1.138,-0.737,10,15,15
59652,-0.412,1.138,-0.733,3,3,3
59753,-0.41,1.136,-0.725,0,0,0
59854,-0.408,1.135,-0.718,2,2,2
59955,-0.405,1.133,-0.704,13,13,13
60056,-0.403,1.131,-0.693,26,26,26
60158,-0.398,1.128,-0.673,53,53,53
60259,-0.395,1.126,-0.658,76,76,76
60360,-0.39,1.122,-0.631,119,119,119
60460,-0.388,1.12,-0.622,136,136,136
60561,-0.386,1.118,-0.612,153,153,153
60662,-0.384,1.117,-0.602,172,172,172
60769,-0.382,1.115,-0.591,192,192,192
60870,-0.375,1.109,-0.556,255,255,255
60971,-0.368,1.105,-0.532,255,255,255
61072,-0.362,1.098,-0.49,255,255,255
61173,-0.354,1.094,-0.461,217,217,217
61274,-0.348,1.086,-0.414,157,157,157
61375,-0.339,1.078,-0.364,108,123,123
61477,-0.332,1.072,-0.328,79,79,79
61578,-0.322,1.063,-0.272,46,46,56
61679,-0.315,1.056,-0.234,28,28,28
61780,-0.304,1.046,-0.174,10,10,10
61881,-0.297,1.04,-0.134,3,3,3
61982,-0.286,1.029,-0.071,0,0,0
62083,-0.279,1.022,-0.028,2,2,2
62184,-0.267,1.011,0.036,13,13,13
62285,-0.26,1.004,0.079,26,26,26
62391,-0.249,0.993,0.145,53,53,53
