Time,x,y,z,Red,Green,Blue
101,0.4999999701976776,1.0061006546020508,1.0,0,0,0
201,0.4999999701976776,1.0061235427856445,1.0,0,0,0
302,0.4999999701976776,1.0061421394348145,1.0,0,0,0
403,0.4999999701976776,1.0061724185943604,1.0,0,0,0
504,0.4999999701976776,1.0061941146850586,1.0,0,0,0
604,0.4999999701976776,1.0062272548675537,1.0,0,0,0
705,0.4999999701976776,1.0062494277954102,1.0,0,0,0
805,0.4999999701976776,1.006282091140747,1.0,0,0,0
906,0.4999999701976776,1.0063045024871826,1.0,0,0,0
1006,0.4999999701976776,1.0063366889953613,1.0,0,0,0
1107,0.4999999701976776,1.0063586235046387,1.0,0,0,0
1208,0.4999999701976776,1.0063905715942383,1.0,0,0,0
1308,0.4999999701976776,1.0064117908477783,1.0,0,0,0
1409,0.4999999701976776,1.006441593170166,1.0,0,0,0
1509,0.4999999701976776,1.0064620971679688,1.0,0,0,0
1610,0.4999999701976776,1.0064904689788818,1.0,0,0,0
1711,0.4999999701976776,1.00650954246521,1.0,0,0,0
1812,0.4999999701976776,1.0065362453460693,1.0,0,0,0
1912,0.4999999701976776,1.0065548419952393,1.0,0,0,0
2012,0.4999999701976776,1.006579875946045,1.0,5,5,5
2113,0.4999999701976776,1.006596565246582,1.0,1,1,1
2213,0.4999999701976776,1.0066206455230713,1.0,1,1,1
2313,0.4999999701976776,1.006636619567871,1.0,5,5,5
2415,0.4999999701976776,1.0066583156585693,1.0,20,20,20
2515,0.4999999701976776,1.0066790580749512,1.0,44,35,35
2616,0.4999999701976776,1.0066924095153809,1.0,65,65,65
2717,0.4999999701976776,1.0067105293273926,1.0,106,106,106
2817,0.4999999701976776,1.0067229270935059,1.0,138,138,138
2918,0.4999999701976776,1.006739616394043,1.0,194,194,194
3018,0.5000022053718567,1.006762981414795,1.0,236,236,236
3119,0.4959736466407776,1.0024116039276123,1.0,255,255,255
3220,0.489294171333313,0.995570182800293,1.0,255,255,255
3320,0.47455155849456787,0.9812609553337097,1.0,215,215,215
3420,0.4619942605495453,0.969800591468811,1.0,175,175,175
3521,0.4394431412220001,0.950674831867218,1.0,121,121,121
3621,0.4217779338359833,0.9368495941162109,1.0,92,92,92
3722,0.3924396336078644,0.9158837199211121,1.0,55,55,55
3822,0.37072181701660156,0.9018036127090454,1.0,35,35,35
3923,0.3358454704284668,0.8815692067146301,1.0,14,14,14
4023,0.3103203773498535,0.8684556484222412,1.0,5,5,5
4124,0.26878347992897034,0.8498967289924622,1.0,0,0,0
4225,0.24030786752700806,0.8390299677848816,1.0,1,1,1
4325,0.19385981559753418,0.824357271194458,1.0,9,9,9
4426,0.1611374169588089,0.816169798374176,1.0,20,20,20
4526,0.1109340712428093,0.806882381439209,1.0,44,44,44
4626,0.07585569471120834,0.802659273147583,1.0,65,65,65
4727,0.022194012999534607,0.7997511029243469,1.0,105,105,105
4827,-0.01437899935990572,0.8001914024353027,1.0,138,138,138
4928,-0.07069753855466843,0.8047236204147339,1.0,193,193,193
5028,-0.10839074105024338,0.8103963136672974,1.0,235,235,235
5129,-0.1658291071653366,0.8232753276824951,1.0,255,255,255
5229,-0.2048410028219223,0.8350327610969543,1.0,255,255,255
5330,-0.26107314229011536,0.8566343188285828,1.0,216,216,216
5430,-0.29817190766334534,0.8741055130958557,1.0,175,175,175
5531,-0.3540326952934265,0.905786395072937,1.0,122,122,122
5631,-0.38929063081741333,0.9295831322669983,1.0,92,92,92
5731,-0.4400981366634369,0.9699026346206665,1.0,55,55,55
5832,-0.4727885127067566,1.0003490447998047,1.0,35,35,35
5932,-0.5184744596481323,1.0502082109451294,1.0,14,14,14
6033,-0.5460898876190186,1.0858263969421387,1.0,5,5,5
6133,-0.5844631195068359,1.14448082447052,1.0,0,0,0
6234,-0.6071017980575562,1.1865143775939941,1.0,1,1,1
6335,-0.6356820464134216,1.2520496845245361,1.0,9,9,9
6435,-0.6517860889434814,1.2997184991836548,1.0,20,20,20
6536,-0.6692927479743958,1.3719391822814941,1.0,44,44,44
6637,-0.6793834567070007,1.4478086233139038,1.0,78,78,78
6737,-0.6815749406814575,1.4990438222885132,1.0,105,105,105
6837,-0.6777991056442261,1.577820897102356,1.0,154,154,154
6938,-0.6703684329986572,1.6305863857269287,1.0,193,193,193
7039,-0.6513261795043945,1.7108687162399292,1.0,255,255,255
7139,-0.6335123181343079,1.7629162073135376,1.0,255,255,255
7240,-0.5981008410453796,1.8409473896026611,1.0,255,255,255
