Time,x,y,z,Red,Green,Blue
101,-0.4999999701976776,2.0121946334838867,1.0,0,0,0
201,-0.4999999701976776,2.0122177600860596,1.0,0,0,0
302,-0.4999999701976776,2.0122363567352295,1.0,0,0,0
403,-0.4999999701976776,2.0122666358947754,1.0,0,0,0
504,-0.4999999701976776,2.0122883319854736,1.0,0,0,0
604,-0.4999999701976776,2.0123214721679688,1.0,0,0,0
705,-0.4999999701976776,2.012343406677246,1.0,0,0,0
805,-0.4999999701976776,2.012376070022583,1.0,0,0,0
906,-0.4999999701976776,2.0123987197875977,1.0,0,0,0
1006,-0.4999999701976776,2.0124306678771973,1.0,0,0,0
1107,-0.4999999701976776,2.0124528408050537,1.0,0,0,0
1208,-0.4999999701976776,2.012484550476074,1.0,0,0,0
1308,-0.4999999701976776,2.0125060081481934,1.0,0,0,0
1409,-0.4999999701976776,2.012535810470581,1.0,0,0,0
1509,-0.4999999701976776,2.0125560760498047,1.0,0,0,0
1610,-0.4999999701976776,2.012584686279297,1.0,0,0,0
1711,-0.4999999701976776,2.012603521347046,1.0,0,0,0
1812,-0.4999999701976776,2.0126304626464844,1.0,0,0,0
1912,-0.4999999701976776,2.0126490592956543,1.0,0,0,0
2012,-0.4999999701976776,2.01267409324646,1.0,1,1,1
2113,-0.4999999701976776,2.012690782546997,1.0,5,5,5
2213,-0.4999999701976776,2.0127146244049072,1.0,20,20,20
2313,-0.4999999701976776,2.012730836868286,1.0,35,35,35
2415,-0.4999999701976776,2.0127522945404053,1.0,65,65,65
2515,-0.4999999701976776,2.012773275375366,1.0,106,106,106
2616,-0.4999999701976776,2.012786388397217,1.0,138,138,138
2717,-0.4999999701976776,2.0128047466278076,1.0,194,194,194
2817,-0.4999999701976776,2.012817144393921,1.0,236,236,236
2918,-0.4999999701976776,2.012833833694458,1.0,255,255,255
3018,-0.49999770522117615,2.012856960296631,1.0,255,255,255
3119,-0.4951777458190918,2.0173299312591553,1.0,215,215,215
3220,-0.4877207279205322,2.0242695808410645,1.0,175,175,175
3320,-0.4716222286224365,2.0387394428253174,1.0,121,121,121
3420,-0.4581103026866913,2.0503134727478027,1.0,92,92,92
3521,-0.4341123402118683,2.069612741470337,1.0,55,55,55
