Time,x,y,z,Red,Green,Blue
101,1.0980138778686523,0.07002106308937073,1.0201873779296875,0,0,0
202,1.6136691570281982,0.07000014185905457,0.0,0,0,0
302,1.6133818626403809,0.0700005292892456,0.0,0,0,0
403,1.6129506826400757,0.07000148296356201,0.0,0,0,0
504,1.6126632690429688,0.07000234723091125,0.0,0,0,0
605,1.6122322082519531,0.07000398635864258,0.0,0,0,0
705,1.6119447946548462,0.07000532746315002,0.0,0,0,0
806,1.611513614654541,0.07000771164894104,0.0,0,0,0
906,1.611226201057434,0.07000955939292908,0.0,0,0,0
1007,1.6107951402664185,0.0700126588344574,0.0,0,0,0
1108,1.6105077266693115,0.07001492381095886,0.0,0,0,0
1209,1.610076665878296,0.07001873850822449,0.0,0,0,0
1310,1.6097891330718994,0.07002153992652893,0.0,0,0,0
1411,1.6093580722808838,0.07002606987953186,0.0,0,0,0
1512,1.6090706586837769,0.0700293481349945,0.0,0,0,0
1612,1.6086397171020508,0.07003462314605713,0.0,0,0,0
1713,1.6082085371017456,0.07004031538963318,0.0,0,0,0
1814,1.6079211235046387,0.07004433870315552,0.0,0,0,0
1914,1.607490062713623,0.07005074620246887,0.0,0,0,0
2015,1.6072026491165161,0.07005524635314941,0.0,0,0,0
2115,1.6053786277770996,0.07006239891052246,0.0,0,0,0
2215,1.6032415628433228,0.0700674057006836,0.0,0,0,0
2316,1.5994631052017212,0.07007524371147156,0.0,0,0,0
2417,1.596562385559082,0.0700807273387909,0.0,0,0,0
2518,1.591703176498413,0.07008928060531616,0.0,0,0,0
2619,1.5879762172698975,0.07009521126747131,0.0,0,0,0
2719,1.5819299221038818,0.07010453939437866,0.0,0,0,0
2820,1.5774048566818237,0.0701109766960144,0.0,0,0,0
2921,1.570212721824646,0.07012099027633667,0.0,0,0,0
3021,1.5653140544891357,0.07012787461280823,0.0,0,0,0
3121,1.5570515394210815,0.0701386034488678,0.0005168386269360781,0,0,0
3222,1.551488995552063,0.07014602422714233,0.004403606988489628,0,0,0
3323,1.5426766872406006,0.07015746831893921,0.016112646088004112,0,0,0
3423,1.5364952087402344,0.07016533613204956,0.027266209945082664,0,0,0
3524,1.5267717838287354,0.07017752528190613,0.0480634979903698,0,0,0
3625,1.5199941396713257,0.07018586993217468,0.06426699459552765,0,0,0
3726,1.5093936920166016,0.07019877433776855,0.09139430522918701,0,0,0
3826,1.5020431280136108,0.0702076256275177,0.11107888072729111,0,0,0
3926,1.4912251234054565,0.07022121548652649,0.14300984144210815,0,0,0
4027,1.4833424091339111,0.07023054361343384,0.16541004180908203,0,0,0
4128,1.4719332456588745,0.07023993134498596,0.20086164772510529,0,0,0
4229,1.4638632535934448,0.07023873925209045,0.22535446286201477,5,5,5
4330,1.4521654844284058,0.07023417949676514,0.26306506991386414,20,20,20
4431,1.4444507360458374,0.07022905349731445,0.2889058589935303,35,35,35
4532,1.4323251247406006,0.07021734118461609,0.32847607135772705,65,65,65
4633,1.424003005027771,0.07020652294158936,0.35537827014923096,91,91,91
4733,1.411964774131775,0.07018548250198364,0.39630359411239624,138,138,138
4833,1.403093695640564,0.07016804814338684,0.4237276315689087,174,174,174
4934,1.3912872076034546,0.07013842463493347,0.4652349352836609,236,236,236
5034,1.3826584815979004,0.0701177716255188,0.4930421710014343,255,255,255
5135,1.3701444864273071,0.0700882077217102,0.5347651243209839,255,255,255
5235,1.3568662405014038,0.07006317377090454,0.5762723684310913,216,237,237
5335,1.3480950593948364,0.07004931569099426,0.603696346282959,175,175,175
5436,1.335046648979187,0.07003289461135864,0.6442695260047913,122,122,122
5536,1.3258323669433594,0.07002443075180054,0.6715239882469177,92,92,92
5637,1.3112226724624634,0.07001486420631409,0.7110942006111145,55,55,55
5738,1.3015917539596558,0.07001009583473206,0.736935019493103,35,35,35
5839,1.2873188257217407,0.07000502943992615,0.7746455669403076,14,14,14
5940,1.2773128747940063,0.07000276446342468,0.7991384267807007,5,5,5
6040,1.2625178098678589,0.07000070810317993,0.8345900177955627,0,0,0
6141,1.2521753311157227,0.07000008225440979,0.8569902181625366,1,1,1
6242,1.2359166145324707,0.07000002264976501,0.8889212012290955,9,9,9
