Time,x,y,z,Red,Green,Blue
100,-0.5000001788139343,1.0060961246490479,1.0,0,0,0
201,-0.5000001788139343,1.006115198135376,1.0,0,0,0
302,-0.5000001788139343,1.0061326026916504,1.0,0,0,0
402,-0.5000001788139343,1.006162405014038,1.0,0,0,0
503,-0.5000001788139343,1.0061836242675781,1.0,0,0,0
604,-0.5000001788139343,1.0062158107757568,1.0,0,0,0
704,-0.5000001788139343,1.0062384605407715,1.0,0,0,0
805,-0.5000001788139343,1.0062716007232666,1.0,0,0,0
906,-0.5000001788139343,1.006293773651123,1.0,0,0,0
1006,-0.5000001788139343,1.006326675415039,1.0,0,0,0
1106,-0.5000001788139343,1.0063486099243164,1.0,0,0,0
1207,-0.5000001788139343,1.0063800811767578,1.0,0,0,0
1307,-0.5000001788139343,1.006401538848877,1.0,0,0,0
1408,-0.5000001788139343,1.006432294845581,1.0,0,0,0
1509,-0.5000001788139343,1.0064520835876465,1.0,0,0,0
1609,-0.5000001788139343,1.006481409072876,1.0,0,0,0
1709,-0.5000001788139343,1.006500244140625,1.0,0,0,0
1810,-0.5000001788139343,1.006528615951538,1.0,0,0,0
1910,-0.5000001788139343,1.0065457820892334,1.0,0,0,0
2011,-0.5000001788139343,1.0065722465515137,1.0,0,0,0
2111,-0.5000001788139343,1.0065891742706299,1.0,0,0,0
2212,-0.5000001788139343,1.0066132545471191,1.0,0,0,0
2313,-0.5000001788139343,1.0066282749176025,1.0,0,0,0
2413,-0.5000001788139343,1.0066514015197754,1.0,0,0,0
2513,-0.5000001788139343,1.0066654682159424,1.0,0,0,0
2614,-0.5000001788139343,1.0066859722137451,1.0,0,0,0
2714,-0.5000001788139343,1.006704568862915,1.0,9,9,9
2815,-0.5000001788139343,1.0067172050476074,1.0,20,20,20
2915,-0.5000001788139343,1.0067341327667236,1.0,44,44,44
3016,-0.5000001788139343,1.006748914718628,1.0,65,65,65
3116,-0.5018521547317505,1.008903980255127,1.0,105,105,105
3217,-0.5069118142127991,1.0145140886306763,1.0,137,137,137
3318,-0.5190456509590149,1.0281819105148315,1.0,193,193,193
3418,-0.5293449759483337,1.0402822494506836,1.0,236,236,236
