Time,x,y,z,Red,Green,Blue
100,0.49999985098838806,1.0060956478118896,1.0,0,0,0
201,0.49999985098838806,1.0061149597167969,1.0,0,0,0
302,0.49999985098838806,1.0061323642730713,1.0,0,0,0
402,0.49999985098838806,1.006162166595459,1.0,0,0,0
503,0.49999985098838806,1.00618314743042,1.0,0,0,0
604,0.49999985098838806,1.0062155723571777,1.0,0,0,0
704,0.49999985098838806,1.0062379837036133,1.0,0,0,0
805,0.49999985098838806,1.0062711238861084,1.0,0,0,0
906,0.49999985098838806,1.0062932968139648,1.0,0,0,0
1006,0.49999985098838806,1.00632643699646,1.0,0,0,0
1106,0.49999985098838806,1.0063481330871582,1.0,0,0,0
1207,0.49999985098838806,1.0063798427581787,1.0,0,0,0
1307,0.49999985098838806,1.0064010620117188,1.0,0,0,0
1408,0.49999985098838806,1.006432056427002,1.0,0,0,0
1509,0.49999985098838806,1.0064516067504883,1.0,0,0,0
1609,0.49999985098838806,1.0064809322357178,1.0,0,0,0
1709,0.49999985098838806,1.006500005722046,1.0,0,0,0
1810,0.49999985098838806,1.0065281391143799,1.0,0,0,0
1910,0.49999985098838806,1.0065455436706543,1.0,0,0,0
2011,0.49999985098838806,1.0065717697143555,1.0,0,0,0
2111,0.49999985098838806,1.0065886974334717,1.0,0,0,0
2212,0.49999985098838806,1.00661301612854,1.0,0,0,0
2313,0.49999985098838806,1.0066277980804443,1.0,0,0,0
2413,0.49999985098838806,1.0066509246826172,1.0,0,0,0
2513,0.49999985098838806,1.0066719055175781,1.0,0,0,0
2614,0.49999985098838806,1.006685733795166,1.0,20,20,20
2714,0.49999985098838806,1.006704330444336,1.0,44,44,44
2815,0.49999985098838806,1.0067167282104492,1.0,65,65,65
2915,0.49999985098838806,1.0067338943481445,1.0,105,105,105
3016,0.49999985098838806,1.0067484378814697,1.0,137,137,137
3116,0.4981392025947571,1.0047075748443604,1.0,193,193,193
3217,0.49297380447387695,0.999295711517334,1.0,236,236,236
3318,0.48009708523750305,0.986531674861908,1.0,255,255,255
3418,0.4685959815979004,0.9757518768310547,1.0,255,255,255
3519,0.44736409187316895,0.9572046399116516,1.0,214,214,214
3619,0.4309305250644684,0.9438806176185608,1.0,174,174,174
3720,0.40280014276504517,0.9230043888092041,1.0,121,121,121
3821,0.3821692168712616,0.9090741872787476,1.0,91,91,91
3921,0.34750211238861084,0.8880216479301453,1.0,54,54,54
4021,0.32293516397476196,0.8747714757919312,1.0,35,35,35
4121,0.28287339210510254,0.8557995557785034,1.0,14,14,14
4222,0.25429004430770874,0.8441872596740723,1.0,5,5,5
4322,0.22444118559360504,0.833601713180542,1.0,0,0,0
4423,0.17714351415634155,0.8199670314788818,1.0,0,0,0
4523,0.12802238762378693,0.8096045255661011,1.0,9,9,9
4624,0.09358526766300201,0.8045584559440613,1.0,20,20,20
4724,0.0395110622048378,0.8002265691757202,1.0,44,44,44
4825,0.0033761728554964066,0.799733579158783,1.0,65,65,65
4926,-0.05241621285676956,0.8027371764183044,1.0,105,105,105
5026,-0.08978267014026642,0.8073322772979736,1.0,137,137,137
5128,-0.14707602560520172,0.8184977769851685,1.0,193,193,193
5228,-0.18605399131774902,0.8290421962738037,1.0,236,236,236
5329,-0.24241474270820618,0.8488273620605469,1.0,255,255,255
5430,-0.2810671925544739,0.8656858205795288,1.0,255,255,255
5530,-0.33601635694503784,0.8948260545730591,1.0,214,214,214
5630,-0.37174278497695923,0.9173763394355774,1.0,174,174,174
5731,-0.42406103014945984,0.9563451409339905,1.0,121,121,121
5831,-0.457560658454895,0.9856188297271729,1.0,91,91,91
5932,-0.50388503074646,1.0332129001617432,1.0,54,54,54
6033,-0.5329946279525757,1.068388819694519,1.0,35,35,35
6133,-0.5725661516189575,1.1248823404312134,1.0,14,14,14
6234,-0.6071017980575562,1.1865143775939941,1.0,2,5,5
6334,-0.6270812749862671,1.2303242683410645,1.0,0,0,0
6435,-0.6517860889434814,1.2997184991836548,1.0,2,2,2
6535,-0.6643475890159607,1.347880482673645,1.0,9,9,9
6636,-0.6769189834594727,1.422356128692627,1.0,27,27,27
6736,-0.6809374690055847,1.4733870029449463,1.0,44,44,44
6837,-0.6799915432929993,1.5521607398986816,1.0,78,78,78
6937,-0.6744640469551086,1.6051135063171387,1.0,105,105,105
7038,-0.6587315201759338,1.684356927871704,1.0,155,155,155
7138,-0.6426453590393066,1.7378836870193481,1.0,193,193,193
7239,-0.6103670597076416,1.8164758682250977,1.0,255,255,255
7340,-0.583143949508667,1.8678534030914307,1.0,255,255,255
7440,-0.5338400602340698,1.9413933753967285,1.0,255,255,255
7540,-0.4955453872680664,1.9875798225402832,1.0,214,214,214
7641,-0.428935170173645,2.0524141788482666,1.0,155,155,155
7741,-0.3779187500476837,2.0921480655670166,1.0,121,121,121
7842,-0.2929331958293915,2.1440300941467285,1.0,78,78,78
7942,-0.2302582561969757,2.1728336811065674,1.0,54,54,54
8042,-0.12843282520771027,2.2051913738250732,1.0,27,27,27
8143,-0.06377683579921722,2.2174267768859863,1.0,14,14,14
8244,0.02473345771431923,2.2244198322296143,1.0,2,2,2
8344,0.07843232899904251,2.2233235836029053,1.0,0,0,0
8445,0.15427641570568085,2.214891195297241,1.0,2,2,2
8546,0.2006794810295105,2.2056472301483154,1.0,9,9,9
8647,0.2654246985912323,2.1873416900634766,1.0,27,27,27
8747,0.30543866753578186,2.1726620197296143,1.0,44,44,44
8848,0.3608425557613373,2.1477603912353516,1.0,78,78,78
8948,0.3956647217273712,2.129110336303711,1.0,105,105,105
9049,0.442939430475235,2.099639892578125,1.0,155,155,155
9149,0.4726271629333496,2.0784311294555664,1.0,193,193,193
9249,0.5133569240570068,2.0454907417297363,1.0,255,255,255
9349,0.538090169429779,2.0228817462921143,1.0,255,255,255
9450,0.5723849534988403,1.987870454788208,1.0,255,255,255
9551,0.5938935279846191,1.9633066654205322,1.0,214,214,214
9651,0.6224737167358398,1.926835536956787,1.0,155,155,155
9752,0.6393334269523621,1.9029579162597656,1.0,121,121,121
9852,0.6627253293991089,1.865944266319275,1.0,78,78,78
9953,0.6769993305206299,1.8407187461853027,1.0,54,54,54
10054,0.6958003640174866,1.8033175468444824,1.0,27,27,27
10154,0.7119302153587341,1.7782237529754639,1.0,14,14,14
10255,0.7215500473976135,1.7410253286361694,1.0,2,2,2
10355,0.7335132360458374,1.7049463987350464,1.0,0,0,0
10456,0.7405064105987549,1.6804479360580444,1.0,2,2,2
10557,0.749133288860321,1.644225001335144,1.0,14,14,14
